window,deviation_pct,stop_loss_pct,take_profit_fib,use_take_profit,num_trades,num_symbols,win_rate,total_return_pct,avg_return_pct,max_drawdown_pct,robustness_score,max_drawdown_chronologisch_pct,robustness_score_chronologisch,share_take_profit_pct,share_stop_loss_pct,besteht_mindestfilter,pf_num_executed,pf_num_skipped,pf_total_return_pct,pf_max_drawdown_pct,pf_calmar_ratio
gesamt,5.0,2.0,0.236,True,510,137,31.0,286.75,0.56,-48.25,0.263,-129.01,0.098,31.0,69.0,False,458,52,20.83,-11.22,1.86
gesamt,5.0,2.0,0.236,False,510,137,15.3,1776.49,3.48,-57.5,1.368,-167.85,0.469,0.0,84.5,True,420,90,197.11,-17.67,11.16
gesamt,5.0,2.0,0.382,True,510,137,24.3,485.21,0.95,-42.79,0.502,-132.14,0.163,23.9,75.7,False,451,59,36.1,-12.04,3.0
gesamt,5.0,2.0,0.5,True,510,137,21.2,655.18,1.28,-45.64,0.636,-125.11,0.232,20.8,78.8,False,448,62,50.55,-11.04,4.58
gesamt,5.0,2.0,0.618,True,510,137,18.8,783.64,1.54,-46.0,0.754,-147.2,0.236,17.6,81.2,False,445,65,57.2,-11.13,5.14
gesamt,5.0,2.0,1.0,True,510,137,16.3,1032.81,2.03,-57.5,0.795,-155.6,0.294,10.4,83.7,True,436,74,82.07,-14.78,5.55
gesamt,5.0,3.0,0.236,True,510,137,38.8,382.27,0.75,-62.05,0.273,-169.17,0.1,38.8,61.2,False,457,53,28.81,-12.17,2.37
gesamt,5.0,3.0,0.236,False,510,137,21.4,2448.96,4.8,-82.5,1.314,-259.86,0.417,0.0,78.0,True,398,112,330.18,-22.7,14.55
gesamt,5.0,3.0,0.382,True,510,137,31.6,688.77,1.35,-56.46,0.54,-155.1,0.197,31.2,68.4,False,447,63,57.93,-12.91,4.49
gesamt,5.0,3.0,0.5,True,510,137,28.4,949.19,1.86,-59.54,0.706,-155.1,0.271,27.5,71.6,False,443,67,84.14,-13.47,6.25
gesamt,5.0,3.0,0.618,True,510,137,25.7,1151.79,2.26,-70.93,0.719,-174.9,0.292,23.7,74.1,True,440,70,99.81,-13.67,7.3
gesamt,5.0,3.0,1.0,True,510,137,22.4,1456.76,2.86,-82.5,0.782,-233.07,0.277,14.1,77.3,True,420,90,132.88,-19.3,6.88
gesamt,5.0,5.0,0.236,True,510,137,50.2,458.33,0.9,-113.07,0.179,-247.94,0.082,50.0,49.8,False,450,60,38.76,-17.13,2.26
gesamt,5.0,5.0,0.236,False,510,137,30.6,2992.92,5.87,-95.61,1.386,-361.11,0.367,0.0,68.4,True,348,162,401.13,-23.43,17.12
gesamt,5.0,5.0,0.382,True,510,137,41.4,797.3,1.56,-113.81,0.31,-238.5,0.148,40.4,58.2,False,430,80,65.78,-17.9,3.67
gesamt,5.0,5.0,0.5,True,510,137,38.0,1173.43,2.3,-113.54,0.458,-238.5,0.218,36.3,61.6,True,420,90,108.15,-17.37,6.23
gesamt,5.0,5.0,0.618,True,510,137,35.3,1449.73,2.84,-126.93,0.506,-254.66,0.252,31.8,64.1,True,410,100,141.74,-18.01,7.87
gesamt,5.0,5.0,1.0,True,510,137,31.6,1869.12,3.66,-113.28,0.731,-290.86,0.285,18.8,67.6,True,380,130,182.62,-23.01,7.94
gesamt,5.0,8.0,0.236,True,510,137,59.8,471.42,0.92,-129.65,0.161,-377.53,0.055,59.6,40.0,False,436,74,25.33,-25.59,0.99
gesamt,5.0,8.0,0.236,False,510,137,39.0,3728.15,7.31,-116.9,1.412,-455.34,0.363,0.0,59.6,True,301,209,656.66,-25.77,25.48
gesamt,5.0,8.0,0.382,True,510,137,50.6,840.23,1.65,-140.59,0.265,-373.5,0.1,49.2,48.6,False,404,106,61.6,-21.59,2.85
gesamt,5.0,8.0,0.5,True,510,137,47.1,1312.46,2.57,-135.33,0.429,-373.5,0.156,44.7,52.2,True,389,121,125.04,-23.23,5.38
gesamt,5.0,8.0,0.618,True,510,137,44.3,1673.77,3.28,-139.49,0.531,-381.89,0.194,39.8,54.7,True,373,137,170.03,-23.23,7.32
gesamt,5.0,8.0,1.0,True,510,137,40.0,2209.74,4.33,-125.87,0.777,-414.55,0.236,23.3,58.8,True,337,173,210.6,-27.85,7.56
gesamt,5.0,12.0,0.236,True,510,137,69.2,667.0,1.31,-151.31,0.195,-501.8,0.059,69.0,30.4,False,410,100,55.52,-26.34,2.11
gesamt,5.0,12.0,0.236,False,510,137,48.4,4252.17,8.34,-147.75,1.274,-655.6,0.287,0.0,48.2,True,256,254,535.23,-29.4,18.21
gesamt,5.0,12.0,0.382,True,510,137,60.6,1165.17,2.28,-195.1,0.264,-484.66,0.106,57.5,37.6,True,360,150,97.81,-25.2,3.88
gesamt,5.0,12.0,0.5,True,510,137,57.5,1777.93,3.49,-167.77,0.469,-470.8,0.167,52.7,40.6,True,336,174,163.29,-27.41,5.96
gesamt,5.0,12.0,0.618,True,510,137,53.9,2045.88,4.01,-160.51,0.564,-456.95,0.198,45.9,43.7,True,322,188,187.11,-27.41,6.83
gesamt,5.0,12.0,1.0,True,510,137,49.4,2553.81,5.01,-177.1,0.639,-610.81,0.185,25.5,47.5,True,286,224,208.55,-30.95,6.74
gesamt,5.0,16.0,0.236,True,510,137,74.5,802.7,1.57,-153.77,0.231,-607.08,0.059,74.1,24.5,False,380,130,64.44,-29.04,2.22
gesamt,5.0,16.0,0.236,False,510,137,55.5,4814.89,9.44,-167.08,1.276,-684.32,0.312,0.0,37.5,True,222,288,494.7,-29.33,16.87
gesamt,5.0,16.0,0.382,True,510,137,67.3,1502.66,2.95,-204.48,0.325,-578.67,0.115,63.3,29.4,True,323,187,111.12,-28.19,3.94
gesamt,5.0,16.0,0.5,True,510,137,64.5,2215.47,4.34,-184.49,0.532,-565.9,0.173,58.2,31.4,True,298,212,179.88,-28.18,6.38
gesamt,5.0,16.0,0.618,True,510,137,61.0,2577.27,5.05,-190.07,0.6,-553.13,0.206,51.0,33.9,True,281,229,207.12,-28.17,7.35
gesamt,5.0,16.0,1.0,True,510,137,56.5,3120.43,6.12,-184.64,0.748,-644.32,0.214,27.5,36.7,True,255,255,205.13,-30.55,6.71
gesamt,6.0,2.0,0.236,True,374,121,25.9,99.86,0.27,-100.45,0.051,-135.51,0.038,25.9,74.1,False,341,33,2.07,-13.04,0.16
gesamt,6.0,2.0,0.236,False,373,121,11.8,964.23,2.59,-85.1,0.587,-139.97,0.357,0.0,87.7,True,324,49,54.67,-19.03,2.87
gesamt,6.0,2.0,0.382,True,374,121,20.6,261.85,0.7,-74.25,0.182,-139.07,0.097,20.6,79.4,False,334,40,8.72,-15.15,0.58
gesamt,6.0,2.0,0.5,True,374,121,18.2,403.43,1.08,-73.6,0.283,-130.18,0.16,18.2,81.8,False,334,40,19.47,-17.16,1.13
gesamt,6.0,2.0,0.618,True,374,121,16.0,470.0,1.26,-73.6,0.33,-150.61,0.161,15.0,84.0,False,329,45,16.76,-18.9,0.89
gesamt,6.0,2.0,1.0,True,374,121,13.1,675.1,1.81,-85.1,0.41,-145.44,0.24,9.9,86.6,False,329,45,25.25,-18.81,1.34
gesamt,6.0,3.0,0.236,True,374,121,34.8,239.87,0.64,-69.6,0.178,-177.04,0.07,34.8,65.2,False,340,34,13.09,-13.39,0.98
gesamt,6.0,3.0,0.236,False,373,121,18.0,1498.89,4.02,-75.9,1.023,-178.2,0.436,0.0,81.5,True,318,55,91.83,-19.19,4.79
gesamt,6.0,3.0,0.382,True,374,121,27.3,424.96,1.14,-81.55,0.269,-151.47,0.145,27.3,72.7,False,332,42,14.86,-11.89,1.25
gesamt,6.0,3.0,0.5,True,374,121,24.6,603.25,1.61,-71.05,0.439,-145.2,0.215,23.5,75.4,False,332,42,27.58,-16.0,1.72
gesamt,6.0,3.0,0.618,True,374,121,22.7,754.85,2.02,-75.9,0.514,-160.5,0.243,20.1,77.3,True,326,48,32.57,-15.42,2.11
gesamt,6.0,3.0,1.0,True,374,121,19.5,1025.46,2.74,-75.9,0.699,-166.52,0.318,13.4,80.2,True,325,49,51.38,-17.0,3.02
gesamt,6.0,5.0,0.236,True,374,121,44.9,249.97,0.67,-90.7,0.143,-248.34,0.052,44.9,55.1,False,338,36,15.79,-17.98,0.88
gesamt,6.0,5.0,0.236,False,373,121,25.2,1641.19,4.4,-102.53,0.829,-301.04,0.282,0.0,74.3,True,302,71,100.45,-24.93,4.03
gesamt,6.0,5.0,0.382,True,374,121,35.0,383.2,1.02,-91.61,0.216,-280.83,0.071,34.5,65.0,False,327,47,11.72,-23.64,0.5
gesamt,6.0,5.0,0.5,True,374,121,32.1,611.23,1.63,-76.73,0.412,-262.3,0.12,30.2,67.9,False,326,48,26.58,-25.02,1.06
gesamt,6.0,5.0,0.618,True,374,121,30.2,800.4,2.14,-68.63,0.603,-246.36,0.168,26.2,69.8,True,318,56,32.46,-23.38,1.39
gesamt,6.0,5.0,1.0,True,374,121,27.3,1166.74,3.12,-76.03,0.794,-238.5,0.253,16.6,72.5,True,314,60,67.11,-23.24,2.89
gesamt,6.0,8.0,0.236,True,374,121,55.1,269.88,0.72,-130.33,0.107,-348.72,0.04,54.8,44.7,False,330,44,13.26,-25.42,0.52
gesamt,6.0,8.0,0.236,False,373,121,35.9,2401.6,6.44,-135.53,0.918,-388.24,0.32,0.0,62.5,True,277,96,208.15,-29.35,7.09
gesamt,6.0,8.0,0.382,True,374,121,46.8,561.73,1.5,-114.34,0.254,-356.12,0.082,44.7,52.9,False,315,59,27.14,-27.21,1.0
