trade_zeile,symbol,entry_time,exit_time,pnl_pct,allocation,capital_after
134,PLD,2020-03-17,2020-03-18,-3.3,1150.67,11278.85
135,CRWD,2020-03-18,2020-07-27,167.89,1127.88,12658.34
141,WELL,2020-03-19,2020-03-23,-3.3,1127.88,11018.31
139,AVGO,2020-03-19,2020-03-23,-3.3,1127.88,11055.53
138,DHR,2020-03-19,2020-03-23,-3.3,1127.88,11092.75
142,XOM,2020-03-19,2020-03-20,-3.3,1127.88,11167.19
140,CRM,2020-03-19,2020-03-20,-3.3,1127.88,11204.41
137,HWM,2020-03-19,2020-03-20,-3.3,1127.88,11241.63
136,VLO,2020-03-19,2020-03-23,-3.3,1127.88,11129.97
148,BKNG,2020-03-20,2020-03-23,-3.3,1116.72,10981.45
149,CME,2020-03-20,2020-03-23,-3.3,1116.72,10944.6
150,WDC,2020-03-20,2020-07-29,38.11,1116.72,13083.92
152,TJX,2020-03-24,2020-07-31,26.38,1094.46,13703.16
153,LMT,2020-03-24,2020-07-31,31.67,1094.46,14049.78
151,GD,2020-03-24,2020-07-31,30.2,1094.46,13414.45
155,AMAT,2020-03-24,2020-03-25,-3.3,1094.46,10872.37
156,MAR,2020-03-24,2020-03-27,-3.3,1094.46,10836.25
154,C,2020-03-24,2020-03-25,-3.3,1094.46,10908.48
169,BAC,2020-04-06,2020-05-13,-3.3,1083.63,10764.73
168,ACN,2020-04-06,2020-08-13,40.4,1083.63,14452.04
170,WELL,2020-04-22,2020-04-24,-3.3,1083.63,10800.49
171,WELL,2020-05-15,2020-09-23,30.88,1076.47,14784.45
172,VLO,2020-07-10,2020-08-06,-3.3,1076.47,14014.26
175,KLAC,2020-09-18,2021-01-28,62.99,1445.2,15309.56
176,LRCX,2020-09-21,2021-01-29,54.35,1445.2,16095.02
177,REGN,2020-09-22,2020-09-25,-3.3,1445.2,14736.76
178,AMAT,2020-09-22,2021-02-01,75.05,1445.2,17179.65
179,HCA,2020-09-25,2021-02-04,48.76,1473.68,17898.21
182,SLB,2020-10-05,2020-10-07,-3.3,1473.68,14688.13
180,GD,2020-10-05,2020-10-21,-3.3,1473.68,14639.5
181,CVX,2020-10-05,2020-10-26,-3.3,1473.68,14590.87
183,CRWD,2020-11-02,2020-11-10,-3.3,1459.09,14542.72
184,REGN,2020-12-14,2020-12-16,-3.3,1454.27,14494.73
185,NEM,2020-12-17,2020-12-22,-3.3,1449.47,14446.9
186,CRM,2020-12-22,2020-12-28,-3.3,1444.69,14399.22
187,SLB,2021-02-02,2021-06-11,56.05,1717.96,18450.98
188,QCOM,2021-02-24,2021-02-25,-3.3,1789.82,17839.15
189,DASH,2021-03-01,2021-03-02,-3.3,1783.91,17780.28
190,NEE,2021-03-08,2021-07-15,8.68,1778.03,18605.32
191,AAPL,2021-03-09,2021-07-16,20.8,1778.03,18975.15
192,TMO,2021-03-26,2021-06-03,-3.3,1778.03,17546.16
193,FCX,2021-03-31,2021-07-19,-3.3,1778.03,18916.47
194,CRM,2021-04-01,2021-05-11,-3.3,1778.03,17721.61
195,ABNB,2021-05-14,2021-05-17,-3.3,1772.16,17663.12
196,TSLA,2021-05-18,2021-05-19,-3.3,1766.31,17604.84
197,MU,2021-05-20,2021-06-09,-3.3,1760.48,17488.06
198,SLB,2021-07-20,2021-08-19,-3.3,1891.65,18729.2
199,APP,2021-07-20,2021-08-06,-3.3,1891.65,18791.62
200,GLW,2021-07-21,2021-07-27,-3.3,1891.65,18854.05
201,PSX,2021-08-23,2021-09-09,-3.3,1872.92,18667.39
202,UNP,2021-10-04,2022-02-10,18.08,1866.74,18039.77
203,PLTR,2021-10-13,2021-11-10,-3.3,1866.74,18605.79
204,CAT,2021-10-15,2021-11-30,-3.3,1866.74,18544.19
205,SLB,2021-11-29,2021-11-30,-3.3,1860.58,18482.79
206,HOOD,2021-11-30,2021-12-01,-3.3,1848.28,18421.8
207,UBER,2021-12-02,2021-12-03,-3.3,1842.18,18361.0
208,CRWD,2021-12-02,2021-12-03,-3.3,1842.18,18300.21
209,HOOD,2021-12-20,2021-12-28,-3.3,1830.02,18239.82
210,MDT,2021-12-21,2022-05-02,1.77,1830.02,17197.58
211,DIS,2021-12-23,2022-01-14,-3.3,1830.02,18119.04
212,CRM,2021-12-27,2022-01-03,-3.3,1830.02,18179.43
213,UBER,2022-01-25,2022-01-28,-3.3,1811.9,18059.25
217,ADI,2022-01-31,2022-02-04,-3.3,1805.92,17880.46
219,PWR,2022-01-31,2022-02-07,-3.3,1805.92,17820.86
214,SPGI,2022-01-31,2022-02-08,-3.3,1805.92,17702.26
215,ANET,2022-01-31,2022-02-04,-3.3,1805.92,17999.65
216,BLK,2022-01-31,2022-02-04,-3.3,1805.92,17940.06
218,MU,2022-01-31,2022-03-07,-3.3,1805.92,17627.29
228,DASH,2022-02-04,2022-02-07,-3.3,1788.05,17761.86
227,MRVL,2022-02-04,2022-02-11,-3.3,1788.05,17980.76
229,AMZN,2022-02-04,2022-02-11,-3.3,1788.05,17921.76
230,WDC,2022-02-09,2022-02-14,-3.3,1770.23,17863.34
231,JCI,2022-02-25,2022-03-01,-3.3,1786.33,17804.39
232,QCOM,2022-02-25,2022-03-01,-3.3,1786.33,17745.44
233,PFE,2022-03-02,2022-07-12,9.69,1774.54,15629.7
234,KKR,2022-03-02,2022-03-03,-3.3,1774.54,17686.88
235,APP,2022-03-11,2022-03-14,-3.3,1762.73,17569.12
236,COF,2022-03-14,2022-04-04,-3.3,1756.91,17395.18
237,AMD,2022-03-15,2022-04-05,-3.3,1756.91,17337.21
239,GLW,2022-03-16,2022-04-01,-3.3,1756.91,17453.16
238,DIS,2022-03-16,2022-04-06,-3.3,1756.91,17279.23
240,STX,2022-03-29,2022-03-30,-3.3,1756.91,17511.14
241,MRVL,2022-04-19,2022-04-21,-3.3,1727.92,17222.21
242,NOW,2022-04-20,2022-04-21,-3.3,1727.92,17165.18
243,NFLX,2022-04-29,2022-05-06,-3.3,1716.52,16858.29
244,DASH,2022-05-03,2022-05-04,-3.3,1719.76,17140.82
246,APP,2022-05-03,2022-05-04,-3.3,1719.76,17084.07
245,BA,2022-05-03,2022-05-06,-3.3,1719.76,16801.54
247,CRM,2022-05-04,2022-05-05,-3.3,1708.41,17027.69
248,FCX,2022-05-04,2022-05-05,-3.3,1708.41,16971.32
249,INTU,2022-05-04,2022-05-05,-3.3,1708.41,16914.94
250,JCI,2022-05-11,2022-05-12,-3.3,1680.15,16746.1
252,CDNS,2022-05-13,2022-05-18,-3.3,1674.61,16469.79
257,TT,2022-05-13,2022-05-18,-3.3,1674.61,16414.52
253,PANW,2022-05-13,2022-05-16,-3.3,1674.61,16690.84
256,NOW,2022-05-13,2022-05-16,-3.3,1674.61,16580.31
254,UBER,2022-05-13,2022-05-16,-3.3,1674.61,16635.57
251,AMZN,2022-05-13,2022-05-18,-3.3,1674.61,16525.05
255,FCX,2022-05-13,2022-06-17,-3.3,1674.61,15769.3
259,ABNB,2022-05-17,2022-05-18,-3.3,1658.03,16359.81
260,TJX,2022-05-18,2022-05-20,-3.3,1635.98,16305.82
262,PLTR,2022-05-19,2022-05-20,-3.3,1635.98,16251.83
261,CRWD,2022-05-19,2022-05-24,-3.3,1635.98,16197.85
265,ACN,2022-05-23,2022-05-24,-3.3,1625.18,16090.59
266,MA,2022-05-23,2022-05-24,-3.3,1625.18,16036.95
264,PNC,2022-05-23,2022-06-13,-3.3,1625.18,15930.4
263,DIS,2022-05-23,2022-05-24,-3.3,1625.18,16144.22
268,MAR,2022-05-25,2022-06-13,-3.3,1603.7,15877.48
269,TSLA,2022-05-25,2022-06-14,-3.3,1603.7,15824.56
267,CME,2022-05-25,2022-09-20,-3.3,1603.7,15218.45
270,COST,2022-06-09,2022-06-10,-3.3,1603.7,15984.03
271,HOOD,2022-06-17,2022-10-26,53.8,1576.93,15565.67
272,ISRG,2022-06-21,2022-09-23,-3.3,1576.93,15115.51
273,LRCX,2022-06-24,2022-06-29,-3.3,1576.93,15717.26
274,STX,2022-06-24,2022-06-29,-3.3,1576.93,15665.22
275,VLO,2022-06-24,2022-07-05,-3.3,1576.93,15613.18
276,COP,2022-06-24,2022-07-05,-3.3,1576.93,15561.14
