symbol,entry_time,entry_price,exit_time,exit_price,result,pnl_pct,pnl_usd,pnl_usd_netto
ENAUSDT,2025-04-07,0.2923,2025-04-17,0.2761,time_exit,-5.84,-55.42251111871362,-58.4
BTCUSDT,2025-04-07,79163.24,2025-04-17,84947.91,time_exit,7.01,73.07267868268148,70.1
WLDUSDT,2025-04-07,0.65,2025-04-17,0.7,time_exit,7.39,76.92307692307682,73.9
LINKUSDT,2025-04-07,11.45,2025-04-17,12.54,time_exit,9.22,95.19650655021833,92.2
ADAUSDT,2025-04-07,0.5864,2025-04-17,0.6167,time_exit,4.87,51.67121418826738,48.7
SUIUSDT,2025-04-07,2.0191,2025-04-17,2.123,time_exit,4.85,51.45857065028989,48.5
BNBUSDT,2025-04-07,554.6,2025-04-17,590.49,time_exit,6.17,64.71330688784707,61.7
PEPEUSDT,2025-04-07,6.45e-06,2025-04-17,7.24e-06,time_exit,11.95,122.48062015503876,119.5
AAVEUSDT,2025-04-07,132.03,2025-04-17,138.94,time_exit,4.93,52.336590168900976,49.3
SOLUSDT,2025-04-07,106.99,2025-04-17,134.83,time_exit,25.72,260.2112346948315,257.2
DOGEUSDT,2025-04-07,0.14958,2025-04-17,0.15588,time_exit,3.91,42.11793020457281,39.1
UNIUSDT,2025-04-07,5.121,2025-04-09,4.602,stop_loss,-10.43,-101.34739308728766,-104.3
TRUMPUSDT,2025-04-07,7.83,2025-04-17,7.56,time_exit,-3.75,-34.482758620689715,-37.5
NEARUSDT,2025-04-09,2.102,2025-04-19,2.182,time_exit,3.51,38.05899143672696,35.1
PROMUSDT,2025-04-12,5.521,2025-04-22,5.838,time_exit,5.44,57.417134577069405,54.4
ZECUSDT,2025-04-18,30.88,2025-04-28,35.63,time_exit,15.08,153.82124352331618,150.8
ETHUSDT,2025-04-22,1756.26,2025-05-02,1842.2,time_exit,4.59,48.93352920410421,45.9
PROMUSDT,2025-04-27,5.729,2025-04-30,5.392,stop_loss,-6.18,-58.82352941176467,-61.8
UNIUSDT,2025-04-30,5.269,2025-05-03,5.059,stop_loss,-4.29,-39.85576010628202,-42.9
PEPEUSDT,2025-05-04,8.09e-06,2025-05-05,7.99e-06,stop_loss,-1.54,-12.360939431396876,-15.4
LINKUSDT,2025-05-04,13.86,2025-05-05,13.81,stop_loss,-0.66,-3.607503607503531,-6.6
PROMUSDT,2025-05-05,5.479,2025-05-15,5.503,time_exit,0.14,4.380361379813839,1.4
UNIUSDT,2025-05-05,4.975,2025-05-06,4.89,stop_loss,-2.01,-17.085427135678387,-20.099999999999998
NEARUSDT,2025-05-05,2.315,2025-05-06,2.285,stop_loss,-1.6,-12.958963282937281,-16.0
XRPUSDT,2025-05-05,2.1306,2025-05-06,2.1067,stop_loss,-1.42,-11.21749741856745,-14.2
BNBUSDT,2025-05-05,597.61,2025-05-15,651.88,time_exit,8.78,90.81173340472881,87.8
ENAUSDT,2025-05-06,0.2698,2025-05-16,0.3788,time_exit,40.1,404.0029651593775,401.0
LINKUSDT,2025-05-06,13.82,2025-05-16,15.76,time_exit,13.74,140.3762662807525,137.4
DOGEUSDT,2025-05-06,0.17219,2025-05-16,0.22111,time_exit,28.11,284.10476798884946,281.1
ADAUSDT,2025-05-06,0.6789,2025-05-16,0.7588,time_exit,11.47,117.69038149948459,114.7
SUIUSDT,2025-05-06,3.3458,2025-05-16,3.7802,time_exit,12.68,129.8344192719229,126.8
PEPEUSDT,2025-05-06,7.99e-06,2025-05-16,1.259e-05,time_exit,57.27,575.7196495619525,572.7
NEARUSDT,2025-05-07,2.284,2025-05-17,2.693,time_exit,17.61,179.0718038528898,176.1
BMTUSDT,2025-05-08,0.1208,2025-05-13,0.1042,stop_loss,-14.04,-137.4172185430464,-140.4
BMTUSDT,2025-05-18,0.0913,2025-05-19,0.087,stop_loss,-5.01,-47.09748083242072,-50.1
PROMUSDT,2025-05-19,5.418,2025-05-23,5.271,stop_loss,-3.01,-27.131782945736475,-30.1
XRPUSDT,2025-05-19,2.3803,2025-05-25,2.2827,stop_loss,-4.4,-41.003234886358825,-44.0
LINKUSDT,2025-05-19,15.78,2025-05-29,15.05,time_exit,-4.93,-46.26108998732565,-49.3
SUIUSDT,2025-05-19,3.8373,2025-05-23,3.5842,stop_loss,-6.9,-65.95783493602269,-69.0
ZECUSDT,2025-05-19,40.68,2025-05-29,53.2,time_exit,30.48,307.7679449360866,304.8
ADAUSDT,2025-05-19,0.7425,2025-05-29,0.7221,time_exit,-3.05,-27.474747474747584,-30.5
SOLUSDT,2025-05-19,166.86,2025-05-29,166.71,time_exit,-0.39,-0.8989572096368553,-3.9
NEARUSDT,2025-05-25,2.796,2025-05-30,2.636,stop_loss,-6.02,-57.22460658082965,-60.2
SUIUSDT,2025-05-25,3.6005,2025-05-27,3.4274,stop_loss,-5.11,-48.076656019997166,-51.1
BMTUSDT,2025-05-25,0.0898,2025-05-30,0.0836,stop_loss,-7.2,-69.04231625835202,-72.0
TRUMPUSDT,2025-05-28,12.48,2025-05-29,12.04,stop_loss,-3.83,-35.256410256410355,-38.3
XRPUSDT,2025-05-28,2.2742,2025-05-30,2.2265,stop_loss,-2.4,-20.974408583238,-24.0
ADAUSDT,2025-05-31,0.6858,2025-06-01,0.6561,stop_loss,-4.63,-43.30708661417316,-46.3
SUIUSDT,2025-05-31,3.2457,2025-06-05,3.053,stop_loss,-6.24,-59.37085990695378,-62.4
BTCUSDT,2025-05-31,104591.88,2025-06-05,103068.55,stop_loss,-1.76,-14.564514950873832,-17.6
BNBUSDT,2025-05-31,658.01,2025-06-05,645.04,stop_loss,-2.27,-19.710946642148336,-22.7
UNIUSDT,2025-05-31,6.053,2025-06-01,5.888,stop_loss,-3.03,-27.25921030893772,-30.3
