symbol,entry_time,entry_price,exit_time,exit_price,result,pnl_pct,pnl_usd,pnl_usd_netto
XRPUSDT,2025-02-01,2.8778,2025-02-08,2.419,sma_exit,-16.24,-159.4273403294183,-162.39999999999998
TRXUSDT,2025-02-02,0.2255,2025-02-06,0.2316,sma_exit,2.41,27.050997782705075,24.1
SUIUSDT,2025-02-02,3.3072,2025-02-10,3.2159,sma_exit,-3.06,-27.60643444605707,-30.6
LINKUSDT,2025-02-02,20.46,2025-02-10,18.81,sma_exit,-8.36,-80.64516129032268,-83.6
BTCUSDT,2025-02-02,97700.59,2025-02-10,97430.82,sma_exit,-0.58,-2.7611911043729576,-5.8
ADAUSDT,2025-02-02,0.8052,2025-02-10,0.7121,sma_exit,-11.86,-115.62344759066079,-118.6
SOLUSDT,2025-02-02,203.51,2025-02-08,199.32,sma_exit,-2.36,-20.588668861481,-23.6
AAVEUSDT,2025-02-06,241.48,2025-02-10,252.61,sma_exit,4.31,46.090773563028094,43.1
BTCUSDT,2025-02-24,91552.88,2025-03-01,86064.53,sma_exit,-6.29,-59.94732224698999,-62.9
XRPUSDT,2025-02-24,2.2783,2025-03-02,2.9396,sma_exit,28.73,290.26028178905307,287.3
TRXUSDT,2025-02-26,0.2272,2025-02-28,0.2333,sma_exit,2.38,26.848591549295747,23.8
XRPUSDT,2025-03-09,2.1387,2025-03-12,2.2396,sma_exit,4.42,47.17819235984465,44.2
TRXUSDT,2025-03-10,0.2292,2025-03-17,0.2206,sma_exit,-4.05,-37.52181500872599,-40.5
XRPUSDT,2025-03-27,2.341,2025-04-04,2.1302,sma_exit,-9.3,-90.04698846646745,-93.0
PEPEUSDT,2025-05-17,1.216e-05,2025-05-18,1.385e-05,sma_exit,13.6,138.98026315789465,136.0
BNBUSDT,2025-05-17,639.51,2025-05-18,651.53,sma_exit,1.58,18.795640412190554,15.8
TRXUSDT,2025-05-19,0.2667,2025-05-20,0.2691,sma_exit,0.6,8.998875140607474,6.0
SUIUSDT,2025-05-23,3.5816,2025-05-27,3.6722,sma_exit,2.23,25.295957114139,22.3
AAVEUSDT,2025-05-29,250.0,2025-06-02,257.81,sma_exit,2.82,31.240000000000006,28.2
BTCUSDT,2025-05-29,105589.75,2025-06-01,105642.93,sma_exit,-0.25,0.5036473710752513,-2.5
PEPEUSDT,2025-05-30,1.161e-05,2025-06-02,1.235e-05,sma_exit,6.07,63.73815676141254,60.7
ZECUSDT,2025-05-30,47.43,2025-06-01,53.1,sma_exit,11.65,119.54459203036058,116.5
BNBUSDT,2025-05-30,655.36,2025-06-02,665.93,sma_exit,1.31,16.128540039062404,13.1
TRXUSDT,2025-05-31,0.2657,2025-06-01,0.2708,sma_exit,1.62,19.194580353782438,16.2
ETHUSDT,2025-06-05,2414.01,2025-06-07,2524.63,sma_exit,4.28,45.8241680854677,42.8
BTCUSDT,2025-06-05,101508.68,2025-06-07,105552.15,sma_exit,3.68,39.83373638589332,36.8
ZECUSDT,2025-06-05,47.57,2025-06-07,50.24,sma_exit,5.31,56.127811645995415,53.1
PEPEUSDT,2025-06-05,1.064e-05,2025-06-07,1.15e-05,sma_exit,7.78,80.82706766917295,77.8
BNBUSDT,2025-06-05,633.32,2025-06-07,650.82,sma_exit,2.46,27.632160677066885,24.6
ZECUSDT,2025-06-13,45.27,2025-06-23,41.55,sma_exit,-8.52,-82.1736249171638,-85.2
PEPEUSDT,2025-06-14,1.095e-05,2025-06-23,9.9e-06,sma_exit,-9.89,-95.89041095890413,-98.9
BNBUSDT,2025-06-14,645.61,2025-06-23,640.49,sma_exit,-1.09,-7.930484348135878,-10.9
AAVEUSDT,2025-06-17,266.56,2025-06-23,257.04,sma_exit,-3.87,-35.714285714285644,-38.7
ETHUSDT,2025-06-20,2406.49,2025-06-23,2411.66,sma_exit,-0.09,2.1483571508712163,-0.9
BTCUSDT,2025-06-20,103297.99,2025-06-23,105333.93,sma_exit,1.67,19.709386407228134,16.7
TRXUSDT,2025-06-22,0.2635,2025-06-23,0.2727,sma_exit,3.19,34.91461100569254,31.9
PROMUSDT,2025-07-09,7.021,2025-07-12,7.162,sma_exit,1.71,20.082609314912407,17.1
XRPUSDT,2025-07-23,3.1838,2025-07-27,3.2389,sma_exit,1.43,17.30636346504175,14.3
ZECUSDT,2025-07-23,41.33,2025-07-27,41.9,sma_exit,1.08,13.791434793128484,10.8
AAVEUSDT,2025-07-23,290.39,2025-07-27,304.93,sma_exit,4.71,50.07059471744902,47.1
PEPEUSDT,2025-07-24,1.239e-05,2025-07-27,1.279e-05,sma_exit,2.93,32.28410008071021,29.3
DOGEUSDT,2025-07-24,0.23218,2025-07-27,0.24071,sma_exit,3.37,36.73873718666556,33.7
NEARUSDT,2025-07-24,2.717,2025-07-26,2.882,sma_exit,5.77,60.728744939271266,57.7
PROMUSDT,2025-07-28,8.969,2025-07-30,9.497,sma_exit,5.59,58.86943917939575,55.9
PEPEUSDT,2025-07-30,1.134e-05,2025-08-04,1.076e-05,sma_exit,-5.41,-51.146384479717774,-54.1
AAVEUSDT,2025-07-30,274.58,2025-08-04,267.82,sma_exit,-2.76,-24.619418748634246,-27.6
DOGEUSDT,2025-07-30,0.21999,2025-08-04,0.21039,sma_exit,-4.66,-43.638347197599884,-46.6
ADAUSDT,2025-07-30,0.7634,2025-08-04,0.7549,sma_exit,-1.41,-11.134398742467845,-14.1
SOLUSDT,2025-07-30,177.77,2025-08-04,169.55,sma_exit,-4.92,-46.23952297913032,-49.2
SUIUSDT,2025-07-31,3.614,2025-08-04,3.5893,sma_exit,-0.98,-6.834532374100643,-9.8
UNIUSDT,2025-07-31,9.344,2025-08-04,9.961,sma_exit,6.3,66.03167808219189,63.0
LINKUSDT,2025-07-31,16.92,2025-08-04,17.11,sma_exit,0.82,11.229314420803647,8.2
XRPUSDT,2025-07-31,3.0224,2025-08-04,3.0716,sma_exit,1.33,16.278454208575937,13.3
NEARUSDT,2025-07-31,2.535,2025-08-04,2.552,sma_exit,0.37,6.706114398422052,3.7
WLDUSDT,2025-07-31,1.004,2025-08-04,0.999,sma_exit,-0.8,-4.980079681274905,-8.0
BTCUSDT,2025-07-31,115764.08,2025-08-04,115055.03,sma_exit,-0.91,-6.124956895092182,-9.1
ETHUSDT,2025-08-01,3488.2,2025-08-04,3720.99,sma_exit,6.37,66.73642566366607,63.7
BNBUSDT,2025-08-01,757.08,2025-08-04,768.63,sma_exit,1.23,15.255983515612556,12.3
BTCUSDT,2025-08-18,116227.05,2025-08-22,116935.99,sma_exit,0.31,6.099612783771096,3.1
NEARUSDT,2025-08-18,2.575,2025-08-22,2.688,sma_exit,4.09,43.88349514563106,40.9
ENAUSDT,2025-08-18,0.6772,2025-08-22,0.7533,sma_exit,10.94,112.37448316597748,109.4
UNIUSDT,2025-08-19,9.95,2025-08-22,11.438,sma_exit,14.65,149.5477386934675,146.5
XRPUSDT,2025-08-19,2.8608,2025-08-22,3.0744,sma_exit,7.17,74.66442953020136,71.7
ETHUSDT,2025-08-19,4075.59,2025-08-20,4336.16,sma_exit,6.09,63.934301536709945,60.9
DOGEUSDT,2025-08-19,0.20943,2025-08-22,0.24054,sma_exit,14.55,148.54605357398654,145.5
SOLUSDT,2025-08-19,176.22,2025-08-20,187.94,sma_exit,6.35,66.5077743729429,63.5
SUIUSDT,2025-08-19,3.4222,2025-08-22,3.7603,sma_exit,9.58,98.79609607854592,95.8
PROMUSDT,2025-08-23,8.767,2025-08-25,9.327,sma_exit,6.09,63.87589825481926,60.9
TRXUSDT,2025-08-25,0.3417,2025-09-03,0.3406,sma_exit,-0.62,-3.219198127011969,-6.2
ADAUSDT,2025-08-31,0.8113,2025-09-02,0.8349,sma_exit,2.61,29.08911623320591,26.1
XRPUSDT,2025-08-31,2.7757,2025-09-02,2.862,sma_exit,2.81,31.091256259682257,28.1
UNIUSDT,2025-09-01,9.351,2025-09-03,9.676,sma_exit,3.18,34.755641107902825,31.8
AAVEUSDT,2025-09-01,304.87,2025-09-02,315.74,sma_exit,3.27,35.6545412798898,32.7
BNBUSDT,2025-09-01,845.68,2025-09-03,854.76,sma_exit,0.77,10.736921767098714,7.7
TRXUSDT,2025-09-06,0.3145,2025-09-07,0.3312,sma_exit,5.01,53.1001589825119,50.1
PROMUSDT,2025-09-13,8.922,2025-09-14,9.402,sma_exit,5.08,53.79959650302607,50.8
ENAUSDT,2025-09-14,0.7428,2025-09-24,0.594,time_exit,-20.33,-200.32310177705983,-203.3
UNIUSDT,2025-09-15,9.161,2025-09-17,9.551,sma_exit,3.96,42.571771640650645,39.6
WLDUSDT,2025-09-15,1.512,2025-09-17,1.601,sma_exit,5.59,58.862433862433846,55.9
WLDUSDT,2025-09-21,1.465,2025-09-28,1.331,sma_exit,-9.45,-91.46757679180895,-94.5
ETHUSDT,2025-09-22,4199.08,2025-09-28,4142.16,sma_exit,-1.66,-13.555350219571924,-16.6
SOLUSDT,2025-09-22,220.38,2025-09-28,210.83,sma_exit,-4.63,-43.33424085670199,-46.3
ADAUSDT,2025-09-22,0.8256,2025-09-28,0.8086,sma_exit,-2.36,-20.591085271317848,-23.6
DOGEUSDT,2025-09-22,0.24122,2025-09-28,0.23735,sma_exit,-1.9,-16.043445817096362,-19.0
LINKUSDT,2025-09-22,21.65,2025-09-28,21.68,sma_exit,-0.16,1.385681293302593,-1.6
BTCUSDT,2025-09-22,112650.99,2025-09-28,112163.95,sma_exit,-0.73,-4.323441809077826,-7.3
XRPUSDT,2025-09-22,2.8526,2025-09-24,2.9257,sma_exit,2.26,25.625744934445827,22.6
TRXUSDT,2025-09-23,0.336,2025-09-26,0.3383,sma_exit,0.38,6.845238095238002,3.8
ENAUSDT,2025-09-25,0.5671,2025-09-26,0.598,sma_exit,5.15,54.487744665843636,51.5
XRPUSDT,2025-10-07,2.852,2025-10-13,2.6052,sma_exit,-8.95,-86.53576437587654,-89.5
BNBUSDT,2025-10-10,1102.47,2025-10-12,1302.65,sma_exit,17.86,181.5741017896179,178.6
TRXUSDT,2025-10-10,0.3205,2025-10-15,0.3192,sma_exit,-0.71,-4.056162246489932,-7.1
