,baseline_curve
2023-04-15,108.76319434341501
2023-04-16,108.76319434341501
2023-04-17,108.68703936171885
2023-04-18,109.0477762869865
2023-04-19,109.01979765858573
2023-04-20,108.7320528744414
2023-04-21,108.60972915131724
2023-04-22,108.69352201375196
2023-04-23,108.67059613193322
2023-04-24,108.637171870416
2023-04-25,108.4759646587921
2023-04-26,108.44699977025725
2023-04-27,108.45573874962497
2023-04-28,108.62321244837416
2023-04-29,108.59612443747193
2023-04-30,108.64464592413847
2023-05-01,108.10668936134272
2023-05-02,108.0264279795242
2023-05-03,108.01571159842258
2023-05-04,107.84467933388315
2023-05-05,107.81684117722709
2023-05-06,107.87948629151688
2023-05-07,107.87948629151688
2023-05-08,107.8817166535892
2023-05-09,107.93473139490463
2023-05-10,107.92316758955367
2023-05-11,107.64826206409161
2023-05-12,107.37203224301533
2023-05-13,107.35813423977613
2023-05-14,107.37692270754422
2023-05-15,107.55172930306203
2023-05-16,107.63633337540868
2023-05-17,107.63633337540868
2023-05-18,107.67595247344013
2023-05-19,107.88483320635183
2023-05-20,107.88483320635183
2023-05-21,107.86660627698525
2023-05-22,107.99221256878442
2023-05-23,108.06682805170324
2023-05-24,107.95517644055906
2023-05-25,107.89396081836212
2023-05-26,107.87406381791011
2023-05-27,107.87406381791011
2023-05-28,107.87406381791011
2023-05-29,107.87406381791011
2023-05-30,107.79145535554639
2023-05-31,107.62017908871479
2023-06-01,107.48802066353589
2023-06-02,107.55824893618184
2023-06-03,107.59161946291849
2023-06-04,107.83065782087596
2023-06-05,107.7172719659995
2023-06-06,107.77941905918829
2023-06-07,107.84008921862358
2023-06-08,108.08809615802255
2023-06-09,108.15902779849375
2023-06-10,108.1538971826383
2023-06-11,108.1538971826383
2023-06-12,108.17244732227078
2023-06-13,108.39574528642093
2023-06-14,108.3154902296483
2023-06-15,108.22226210278842
2023-06-16,108.52145664344066
2023-06-17,108.52145664344066
2023-06-18,108.53333291806875
2023-06-19,108.53333291806875
2023-06-20,108.6113837362969
2023-06-21,108.6113837362969
2023-06-22,108.72927036998617
2023-06-23,108.87070055814914
2023-06-24,108.87070055814914
2023-06-25,109.08396245830312
2023-06-26,109.76117602671025
2023-06-27,109.92418644855981
2023-06-28,109.85793463226679
2023-06-29,109.85793463226679
2023-06-30,109.93358558293156
2023-07-01,109.88926590026455
2023-07-02,109.84512762330819
2023-07-03,109.84512762330819
2023-07-04,109.80118208991925
2023-07-05,109.81775277441655
2023-07-06,109.74895398881542
2023-07-07,109.69510987732704
2023-07-08,109.7518272574096
2023-07-09,109.7518272574096
2023-07-10,109.81115546447569
2023-07-11,109.76288750975544
2023-07-12,109.92181152567713
2023-07-13,109.92181152567713
2023-07-14,109.52463755472502
2023-07-15,109.58638704926831
2023-07-16,109.45732822404489
2023-07-17,109.31274031560329
2023-07-18,109.41626830493539
2023-07-19,109.49442666409497
2023-07-20,109.71189231505389
2023-07-21,110.02010053544052
2023-07-22,110.02010053544052
2023-07-23,110.02183502392108
2023-07-24,110.29774119544837
2023-07-25,110.39216770529737
2023-07-26,110.47276065730838
2023-07-27,110.47276065730838
2023-07-28,110.52219517097211
2023-07-29,110.52219517097211
2023-07-30,110.38162351558
2023-07-31,110.38914266553479
2023-08-01,110.59401943807173
2023-08-02,110.47781750846633
2023-08-03,110.43798484105034
2023-08-04,110.45026889580087
2023-08-05,110.44257628605855
2023-08-06,110.48475639445859
2023-08-07,110.45032703060042
2023-08-08,110.48522523691236
2023-08-09,110.47516269379986
2023-08-10,110.47516269379986
2023-08-11,110.40324119542872
2023-08-12,110.40324119542872
2023-08-13,110.40324119542872
2023-08-14,110.34541846212522
2023-08-15,110.21493320362019
2023-08-16,110.06223431533772
2023-08-17,109.66222773454115
2023-08-18,109.49396989427602
2023-08-19,109.49396989427602
2023-08-20,109.41139940444322
2023-08-21,109.24482490823179
2023-08-22,109.15519139071735
2023-08-23,109.01624290193111
2023-08-24,108.71396564973654
2023-08-25,108.61433466125573
2023-08-26,108.61433466125573
2023-08-27,108.61433466125573
2023-08-28,108.4422930421662
2023-08-29,108.48874870162244
2023-08-30,108.47606289485692
2023-08-31,108.35796037390222
2023-09-01,108.54737744706424
2023-09-02,108.54737744706424
2023-09-03,108.54737744706424
2023-09-04,108.22521203004027
2023-09-05,108.23284962774345
2023-09-06,108.13050114364526
2023-09-07,108.12466200980741
2023-09-08,108.12466200980741
2023-09-09,108.12466200980741
2023-09-10,108.00839158304912
2023-09-11,107.98557562632718
2023-09-12,108.12042643685523
2023-09-13,108.06661415148567
2023-09-14,108.12564387147515
2023-09-15,108.12564387147515
2023-09-16,108.12564387147515
2023-09-17,108.12564387147515
2023-09-18,108.19529103355406
2023-09-19,108.27577446752991
2023-09-20,108.24940097261316
2023-09-21,108.22549992228578
2023-09-22,108.88907804854017
2023-09-23,108.88907804854017
2023-09-24,108.88907804854017
2023-09-25,108.69202877989605
2023-09-26,108.68162062725133
2023-09-27,108.53760201659878
2023-09-28,108.53760201659878
2023-09-29,108.40553806791758
2023-09-30,108.40553806791758
2023-10-01,108.40553806791758
2023-10-02,108.34791941772454
2023-10-03,108.14166846931677
2023-10-04,108.14361188292033
2023-10-05,108.32748154827134
2023-10-06,108.58037055026743
2023-10-07,108.5896642513275
2023-10-08,108.5896642513275
2023-10-09,108.50820168888748
2023-10-10,108.62400663964343
2023-10-11,108.49413917535102
2023-10-12,108.47365069657049
2023-10-13,108.47365069657049
2023-10-14,108.46556378212607
2023-10-15,108.51005232082159
2023-10-16,108.44372013395326
2023-10-17,108.56904947531379
2023-10-18,108.37312040763499
2023-10-19,108.01657944341653
2023-10-20,107.93383864567909
2023-10-21,107.93383864567909
2023-10-22,107.93383864567909
2023-10-23,108.02845484081783
2023-10-24,108.20340042185225
2023-10-25,108.20340042185225
2023-10-26,108.30496782606791
2023-10-27,108.54500912515117
2023-10-28,108.54500912515117
2023-10-29,109.1228968870151
2023-10-30,109.0359390054762
2023-10-31,109.58223252283324
2023-11-01,109.58873086924766
2023-11-02,110.44329682575294
2023-11-03,111.28857788422638
2023-11-04,111.28857788422638
2023-11-05,111.62432215356097
2023-11-06,111.62432215356097
2023-11-07,112.07884747180125
2023-11-08,112.07884747180125
2023-11-09,112.20833536388885
2023-11-10,112.23270541942468
2023-11-11,112.23270541942468
2023-11-12,112.18565331324201
2023-11-13,112.52556785396706
2023-11-14,112.62097006855618
2023-11-15,112.9706049632144
2023-11-16,112.96208303272807
2023-11-17,112.83700897871654
2023-11-18,112.83700897871654
2023-11-19,113.23399650646793
2023-11-20,113.23399650646793
2023-11-21,113.3930007291141
2023-11-22,113.55779910613728
2023-11-23,113.55779910613728
2023-11-24,113.80618883625905
2023-11-25,113.80618883625905
2023-11-26,113.75881927008287
2023-11-27,113.74262881041328
2023-11-28,113.8213335588639
2023-11-29,113.8213335588639
2023-11-30,113.83815785970629
2023-12-01,114.16555425777668
2023-12-02,114.16555425777668
2023-12-03,114.16555425777668
2023-12-04,114.11158813483509
2023-12-05,114.0950462016012
2023-12-06,114.09370857515087
2023-12-07,114.16223386767311
2023-12-08,114.20665318771348
2023-12-09,114.20665318771348
2023-12-10,114.20665318771348
2023-12-11,114.39176470273841
2023-12-12,114.57243962793258
2023-12-13,114.55191436462889
2023-12-14,115.15770053807924
2023-12-15,115.09332757491882
2023-12-16,114.9520465399448
2023-12-17,114.84406701877343
2023-12-18,114.59943118406044
2023-12-19,114.68841640816674
2023-12-20,114.62730147868254
2023-12-21,114.72134429399128
2023-12-22,114.74079978130351
2023-12-23,115.16668643551624
2023-12-24,115.10670185054926
2023-12-25,115.10670185054926
2023-12-26,115.2252925349058
2023-12-27,115.35104742571684
2023-12-28,115.72313041837545
2023-12-29,116.62676978186953
2023-12-30,116.62676978186953
2023-12-31,116.55717700580436
2024-01-01,116.55717700580436
2024-01-02,116.74009984480946
2024-01-03,116.51052119905326
2024-01-04,116.49129705454354
2024-01-05,116.42284485446129
2024-01-06,116.42284485446129
2024-01-07,116.37105397900778
2024-01-08,116.31677777897022
2024-01-09,116.13715324166476
2024-01-10,116.15214929833641
2024-01-11,116.13319675718799
2024-01-12,115.99298633940876
