entry_time,direction,entry_price,exit_time,exit_price,result,pnl_pct_gross,pnl_pct,fib_score,symbol,passive_pnl_pct
2022-03-01,long,55.33918553305734,2022-03-04,53.67900996706562,stop_loss,-3.0,-3.3,0.67,KKR,-3.05
2022-03-10,long,117.26239500018754,2022-03-14,124.54889445484285,take_profit,6.21,5.91,0.33,COF,4.89
2022-03-10,long,43.970001220703125,2022-03-16,49.313041076660156,take_profit,12.15,11.85,0.67,APP,13.39
2022-03-14,long,101.04000091552734,2022-03-15,106.60252084350586,take_profit,5.51,5.21,0.67,AMD,7.9
2022-03-14,long,31.985018837692827,2022-03-16,33.546245246521096,take_profit,4.88,4.58,0.67,GLW,3.98
2022-03-14,long,124.47252726997118,2022-03-16,130.95948250244354,take_profit,5.21,4.91,0.67,DIS,7.3
2022-03-25,long,77.98128848629003,2022-03-29,82.8174165626772,take_profit,6.2,5.9,0.67,STX,5.48
2022-04-18,long,59.19456498020049,2022-04-20,62.99672624570228,take_profit,6.42,6.12,0.33,MRVL,4.34
2022-04-19,long,98.41400146484376,2022-04-20,103.58476052856446,take_profit,5.25,4.95,0.34,NOW,2.37
2022-04-28,long,18.559999465942383,2022-05-06,18.00319948196411,stop_loss,-3.0,-3.3,0.33,NFLX,-2.79
2022-05-02,long,78.79000091552734,2022-05-04,76.42630088806152,stop_loss,-3.0,-3.3,0.33,DASH,3.32
2022-05-02,long,399.93460395956265,2022-05-04,421.3551713009582,take_profit,5.36,5.06,0.33,INTU,8.09
2022-05-02,long,143.3800048828125,2022-05-04,156.17120416259766,take_profit,8.92,8.62,0.33,BA,9.18
2022-05-02,long,37.72499847412109,2022-05-03,41.00185897827148,take_profit,8.69,8.39,0.33,APP,5.12
2022-05-02,long,170.1758525023262,2022-05-04,181.55247305071723,take_profit,6.69,6.39,0.33,CRM,6.84
2022-05-10,long,46.30249866057044,2022-05-27,50.192681261872515,take_profit,8.4,8.1,0.33,JCI,8.81
2022-05-12,long,202.64120142039715,2022-05-13,216.84434626030983,take_profit,7.01,6.71,1.0,DHR,6.32
