,kapital_start,kapital_ende,gebunden,exposure,n_offen
2025-01-12,194.14003890822204,194.14003890822204,128.56620144236248,0.6622343446791056,76
2025-01-13,194.14003890822204,193.68810031238817,137.08743744158406,0.7061265579862736,79
2025-01-14,193.68810031238817,193.29055511859963,148.4904112073967,0.7666470524926685,81
2025-01-15,193.29055511859963,193.2095928099184,134.44346961320747,0.6955511588795188,74
2025-01-16,193.2095928099184,193.33109595073142,122.10531843452232,0.6319837263704127,60
2025-01-17,193.33109595073142,193.31810851422173,132.29550934258063,0.6842950364089121,61
2025-01-18,193.31810851422173,193.31810851422173,114.19341049400872,0.590702088757546,52
2025-01-19,193.31810851422173,193.31810851422173,114.19341049400872,0.590702088757546,52
2025-01-20,193.31810851422173,193.31810851422173,114.19341049400872,0.590702088757546,52
2025-01-21,193.31810851422173,193.3395804017463,114.19341049400872,0.590702088757546,52
2025-01-22,193.3395804017463,193.38292698184887,110.41766730149087,0.5711074114883801,49
2025-01-23,193.38292698184887,193.4285402162576,110.4275743635707,0.5710306286445626,49
2025-01-24,193.4285402162576,193.847514710539,105.574132665485,0.545804318987522,44
2025-01-25,193.847514710539,193.847514710539,90.01296508893066,0.46434933779440857,28
2025-01-26,193.847514710539,193.847514710539,90.01296508893066,0.46434933779440857,28
2025-01-27,193.847514710539,194.00794135955022,109.47606293273557,0.5647535027529741,40
2025-01-28,194.00794135955022,193.54027555351502,102.05668217360518,0.52604383850693,37
2025-01-29,193.54027555351502,193.410924759474,111.47590559748129,0.5759829848266261,42
2025-01-30,193.410924759474,193.87799688619356,102.6833670150051,0.5309077920117606,43
2025-01-31,193.87799688619356,194.12318655421114,90.27876071128598,0.4656472738589291,37
2025-02-01,194.12318655421114,194.12318655421114,86.91873104655828,0.44775038257619587,34
2025-02-02,194.12318655421114,194.12318655421114,86.91873104655828,0.44775038257619587,34
2025-02-03,194.12318655421114,193.99661500637654,105.33419146865401,0.5426151988249905,51
2025-02-04,193.99661500637654,193.86063671042692,102.82725814094704,0.5300466615748278,53
2025-02-05,193.86063671042692,194.45089815339438,96.20473079913509,0.4962571692304808,56
2025-02-06,194.45089815339438,194.45500863723225,104.09789747856442,0.5353428473055745,59
2025-02-07,194.45500863723225,194.7653402493026,110.3299006792426,0.5673800919423464,61
2025-02-08,194.7653402493026,194.7653402493026,104.67739240911189,0.5374539036315354,60
2025-02-09,194.7653402493026,194.7653402493026,104.67739240911189,0.5374539036315354,60
2025-02-10,194.7653402493026,194.79193922639453,113.61321900406332,0.5833338665834316,68
2025-02-11,194.79193922639453,194.7824951297301,125.21916012825,0.6428354305909731,70
2025-02-12,194.7824951297301,194.65693776198304,135.51295011973707,0.6957142120470424,71
2025-02-13,194.65693776198304,194.60463651970326,148.799522668299,0.7644193131726122,75
2025-02-14,194.60463651970326,195.03540560822387,145.79473181352222,0.7491842662174231,72
2025-02-15,195.03540560822387,195.03540560822387,141.92329857528716,0.7276796647905801,69
2025-02-16,195.03540560822387,195.03540560822387,141.92329857528716,0.7276796647905801,69
2025-02-17,195.03540560822387,195.03540560822387,141.92329857528716,0.7276796647905801,69
2025-02-18,195.03540560822387,195.52928043822513,147.08757752963115,0.7541583389484285,74
