,elliott_wave,elliott_wave_stocks,rsi2_mean_reversion,t3_supertrend,Portfolio (gewichtet)
2022-01-29,109.36600629808268,104.01916244877884,97.12963543277398,95.01813166965036,101.38323396232147
2022-01-30,109.36600629808268,104.01916244877884,97.12963543277398,95.01813166965036,101.38323396232147
2022-01-31,109.36600629808268,109.13376824935777,97.48615778836957,95.01813166965036,102.75101600136509
2022-02-01,109.36600629808268,109.13376824935777,97.48615778836957,95.01813166965036,102.75101600136509
2022-02-02,109.36600629808268,109.13376824935777,97.48615778836957,94.60949552645708,102.64885696556676
2022-02-03,109.83517359588633,109.13376824935777,97.48615778836957,94.60949552645708,102.76614879001768
2022-02-04,109.83517359588633,109.76783061538514,97.48615778836957,95.45231380860861,103.13536895206241
2022-02-05,109.83517359588633,109.76783061538514,97.48615778836957,97.10951049481396,103.54966812361374
2022-02-06,109.83517359588633,109.76783061538514,97.48615778836957,96.69189333748456,103.44526383428139
2022-02-07,109.83517359588633,109.76783061538514,97.48615778836957,96.69189333748456,103.44526383428139
2022-02-08,109.83517359588633,110.61581716245543,96.96503923287075,96.27427618015516,103.42257654284191
2022-02-09,110.09875632797865,112.27902200391493,96.96503923287075,96.27427618015516,103.90427343622987
2022-02-10,110.09875632797865,113.18789236326899,96.96503923287075,96.27427618015516,104.13149102606837
2022-02-11,110.09875632797865,113.18789236326899,96.96503923287075,101.50980826532712,105.4403740473614
2022-02-12,110.59094351656238,113.18789236326899,96.96503923287075,101.67785301871844,105.60543203285515
2022-02-13,110.59094351656238,113.18789236326899,96.96503923287075,101.67785301871844,105.60543203285515
2022-02-14,111.85504444533025,113.18789236326899,96.96503923287075,101.67785301871844,105.92145726504711
2022-02-15,111.85504444533025,113.18789236326899,96.96503923287075,101.67785301871844,105.92145726504711
2022-02-16,111.85504444533025,113.18789236326899,96.9874374673145,101.67785301871844,105.92705682365803
2022-02-17,111.85504444533025,113.18789236326899,96.9874374673145,100.80340160899858,105.70844397122808
2022-02-18,111.85504444533025,113.18789236326899,96.88263838872444,100.80340160899858,105.68224420158057
2022-02-19,111.85504444533025,113.18789236326899,96.88263838872444,100.80340160899858,105.68224420158057
2022-02-20,111.59773986526889,113.18789236326899,96.88263838872444,100.80340160899858,105.61791805656524
2022-02-21,112.192569856898,113.18789236326899,96.88263838872444,100.80340160899858,105.7666255544725
2022-02-22,112.192569856898,113.18789236326899,96.74691330753085,100.80340160899858,105.73269428417412
2022-02-23,112.84888587714754,113.18789236326899,95.75553457290779,100.80340160899858,105.64892860558072
2022-02-24,112.84888587714754,113.18789236326899,95.49127650414933,100.80340160899858,105.5828640883911
2022-02-25,112.84888587714754,113.77645803769344,94.76990951318774,100.80340160899858,105.5496637592568
2022-02-26,112.84888587714754,113.77645803769344,94.76990951318774,100.80340160899858,105.5496637592568
2022-02-27,112.84888587714754,113.77645803769344,94.76990951318774,98.63987530360818,105.00878218290921
2022-02-28,112.84888587714754,113.77645803769344,94.76990951318774,98.63987530360818,105.00878218290921
2022-03-01,112.84888587714754,113.77645803769344,94.76990951318774,98.63987530360818,105.00878218290921
2022-03-02,112.84888587714754,113.77645803769344,94.93409473631218,98.63987530360818,105.04982848869034
2022-03-03,112.84888587714754,114.97366243382376,94.93409473631218,98.21567206924561,105.24307877913226
2022-03-04,112.84888587714754,114.59639549220509,94.93409473631218,98.21567206924561,105.1487620437276
2022-03-05,112.84888587714754,114.59639549220509,94.93409473631218,98.21567206924561,105.1487620437276
2022-03-06,112.84888587714754,114.59639549220509,94.93409473631218,98.21567206924561,105.1487620437276
2022-03-07,112.84888587714754,114.59639549220509,94.93409473631218,98.21567206924561,105.1487620437276
2022-03-08,112.84888587714754,114.59639549220509,94.93409473631218,98.21567206924561,105.1487620437276
2022-03-09,113.64561326583491,114.59639549220509,96.08657636821876,98.21567206924561,105.6360642988761
2022-03-10,113.64561326583491,114.59639549220509,95.04567493175216,97.79336482675625,105.27026212913711
2022-03-11,113.64561326583491,114.59639549220509,95.04567493175216,97.79336482675625,105.27026212913711
2022-03-12,113.64561326583491,114.59639549220509,95.04567493175216,97.79336482675625,105.27026212913711
2022-03-13,113.64561326583491,114.59639549220509,95.04567493175216,97.79336482675625,105.27026212913711
2022-03-14,113.64561326583491,115.2736614368181,95.07043628267394,97.79336482675625,105.4457689530208
2022-03-15,113.64561326583491,115.87425764620258,95.26688318293296,97.79336482675625,105.64502973043169
2022-03-16,113.64561326583491,118.32616043150406,95.26688318293296,97.79336482675625,106.25800542675705
2022-03-17,113.64561326583491,118.32616043150406,95.26688318293296,97.79336482675625,106.25800542675705
2022-03-18,113.64561326583491,118.32616043150406,95.70323777780744,97.79336482675625,106.36709407547566
2022-03-19,113.64561326583491,118.32616043150406,95.70323777780744,97.79336482675625,106.36709407547566
2022-03-20,113.64561326583491,118.32616043150406,95.70323777780744,97.79336482675625,106.36709407547566
2022-03-21,113.64561326583491,118.32616043150406,95.70323777780744,97.79336482675625,106.36709407547566
2022-03-22,113.64561326583491,118.32616043150406,95.70323777780744,97.79336482675625,106.36709407547566
2022-03-23,113.64561326583491,118.32616043150406,95.70323777780744,97.79336482675625,106.36709407547566
2022-03-24,113.64561326583491,118.32616043150406,95.70323777780744,97.79336482675625,106.36709407547566
2022-03-25,113.64561326583491,118.32616043150406,95.77598066765233,97.79336482675625,106.38527979793689
2022-03-26,113.64561326583491,118.32616043150406,95.77598066765233,97.79336482675625,106.38527979793689
2022-03-27,113.64561326583491,118.32616043150406,95.77598066765233,97.79336482675625,106.38527979793689
2022-03-28,113.64561326583491,118.32616043150406,95.77598066765233,97.79336482675625,106.38527979793689
2022-03-29,113.64561326583491,119.02429702792614,95.77598066765233,97.79336482675625,106.55981394704241
2022-03-30,113.64561326583491,119.02429702792614,95.77598066765233,97.79336482675625,106.55981394704241
2022-03-31,113.64561326583491,119.02429702792614,95.77598066765233,100.64304061214592,107.27223289338983
2022-04-01,113.64561326583491,119.02429702792614,95.77598066765233,103.43404043851298,107.96998284998158
2022-04-02,113.64561326583491,119.02429702792614,95.77598066765233,103.43404043851298,107.96998284998158
2022-04-03,113.64561326583491,119.02429702792614,95.77598066765233,106.43539557375709,108.72032163379262
2022-04-04,113.64561326583491,119.02429702792614,95.77598066765233,106.43539557375709,108.72032163379262
2022-04-05,113.64561326583491,119.02429702792614,95.77598066765233,106.43539557375709,108.72032163379262
2022-04-06,113.64561326583491,119.02429702792614,96.32381271377216,106.43539557375709,108.85727964532256
2022-04-07,113.64561326583491,119.02429702792614,96.47988114551556,106.43539557375709,108.89629675325843
2022-04-08,113.64561326583491,119.02429702792614,96.15336009477126,106.43539557375709,108.81466649057234
2022-04-09,113.64561326583491,119.02429702792614,96.15336009477126,106.43539557375709,108.81466649057234
2022-04-10,113.64561326583491,119.02429702792614,96.15336009477126,106.43539557375709,108.81466649057234
2022-04-11,113.64561326583491,119.02429702792614,96.15336009477126,106.43539557375709,108.81466649057234
2022-04-12,113.64561326583491,119.02429702792614,95.67703800815994,106.43539557375709,108.6955859689195
2022-04-13,113.64561326583491,119.02429702792614,95.48069385209561,106.43539557375709,108.64649992990346
2022-04-14,114.05698170367123,119.02429702792614,96.20432121534053,106.43539557375709,108.93024888017375
2022-04-15,114.05698170367123,119.02429702792614,96.20432121534053,106.43539557375709,108.93024888017375
2022-04-16,114.05698170367123,119.02429702792614,96.20432121534053,106.43539557375709,108.93024888017375
2022-04-17,114.05698170367123,119.02429702792614,96.20432121534053,106.43539557375709,108.93024888017375
2022-04-18,114.64553354326942,119.02429702792614,96.20432121534053,106.43539557375709,109.0773868400733
2022-04-19,114.64553354326942,119.02429702792614,95.87461509456061,106.43539557375709,108.99496030987832
2022-04-20,114.64553354326942,120.34187324070042,96.05359548172129,105.97766321995303,109.25466637141106
2022-04-21,114.64553354326942,120.34187324070042,96.05359548172129,105.97766321995303,109.25466637141106
2022-04-22,114.64553354326942,120.34187324070042,96.05359548172129,105.97766321995303,109.25466637141106
2022-04-23,114.64553354326942,120.34187324070042,96.05359548172129,105.97766321995303,109.25466637141106
2022-04-24,114.64553354326942,120.34187324070042,96.05359548172129,105.97766321995303,109.25466637141106
2022-04-25,115.08689759636465,120.34187324070042,96.05359548172129,105.52003065519493,109.25059924349534
2022-04-26,115.08689759636465,120.34187324070042,95.31024123309471,105.52003065519493,109.06476068133868
2022-04-27,115.08689759636465,120.34187324070042,94.8397755655811,105.52003065519493,108.94714426446028
2022-04-28,115.08689759636465,120.34187324070042,92.71687501476947,105.52003065519493,108.41641912675738
2022-04-29,115.08689759636465,120.34187324070042,92.71687501476947,105.52003065519493,108.41641912675738
2022-04-30,115.08689759636465,120.34187324070042,92.71687501476947,105.52003065519493,108.41641912675738
2022-05-01,115.08689759636465,120.34187324070042,92.71687501476947,105.52003065519493,108.41641912675738
2022-05-02,115.08689759636465,120.34187324070042,92.71687501476947,105.52003065519493,108.41641912675738
2022-05-03,115.08689759636465,121.35154087224704,92.88547823826583,105.52003065519493,108.71098684051812
2022-05-04,115.08689759636465,120.95443351800093,92.77821329900307,105.52003065519493,108.58489376714088
2022-05-05,115.08689759636465,120.95443351800093,92.77821329900307,104.1608040602167,108.24508711839633
2022-05-06,115.08689759636465,122.97257237430253,92.77821329900307,104.1608040602167,108.74962183247175
2022-05-07,115.08689759636465,122.97257237430253,92.77821329900307,104.1608040602167,108.74962183247175
2022-05-08,115.08689759636465,122.97257237430253,92.77821329900307,104.1608040602167,108.74962183247175
2022-05-09,115.08689759636465,122.97257237430253,92.77821329900307,104.1608040602167,108.74962183247175
2022-05-10,115.60828317455257,122.97257237430253,92.77821329900307,104.1608040602167,108.87996822701874
2022-05-11,115.60828317455257,122.97257237430253,92.77821329900307,104.1608040602167,108.87996822701874
2022-05-12,115.60828317455257,122.97257237430253,93.70239733029484,104.1608040602167,109.11101423484166
2022-05-13,115.60828317455257,127.74759804719824,94.44780646281534,104.1608040602167,110.49112293619572
2022-05-14,115.60828317455257,127.74759804719824,94.44780646281534,104.1608040602167,110.49112293619572
2022-05-15,115.60828317455257,127.74759804719824,94.44780646281534,104.1608040602167,110.49112293619572
2022-05-16,115.60828317455257,127.74759804719824,94.74761402293868,104.1608040602167,110.56607482622655
2022-05-17,115.60828317455257,129.3044223847711,94.91816938613425,104.1608040602167,110.99791975141866
2022-05-18,115.60828317455257,129.65350729974313,94.91816938613425,104.1608040602167,111.08519098016167
2022-05-19,116.14122852473395,129.65350729974313,94.99872083477602,104.1608040602167,111.23856517986745
2022-05-20,116.14122852473395,130.15785922944755,94.99872083477602,104.1608040602167,111.36465316229356
2022-05-21,116.14122852473395,130.15785922944755,94.99872083477602,104.1608040602167,111.36465316229356
2022-05-22,116.14122852473395,130.15785922944755,94.99872083477602,104.1608040602167,111.36465316229356
2022-05-23,116.14122852473395,130.83077158268003,95.22753215636433,104.1608040602167,111.59008408099878
2022-05-24,116.14122852473395,130.98603859741246,95.22753215636433,104.1608040602167,111.62890083468187
2022-05-25,116.14122852473395,131.63701682613217,95.45130901241254,104.1608040602167,111.84758960587385
2022-05-26,116.14122852473395,131.63701682613217,95.45130901241254,104.1608040602167,111.84758960587385
2022-05-27,116.70795631203413,135.75541457157007,95.45130901241254,104.1608040602167,113.01887098905836
2022-05-28,116.70795631203413,135.75541457157007,95.45130901241254,104.1608040602167,113.01887098905836
2022-05-29,116.70795631203413,135.75541457157007,95.45130901241254,104.1608040602167,113.01887098905836
2022-05-30,116.70795631203413,135.75541457157007,95.45130901241254,104.1608040602167,113.01887098905836
2022-05-31,116.70795631203413,137.08043509326987,95.45130901241254,102.82093654015412,113.01515923946765
2022-06-01,116.70795631203413,138.04118298044875,95.45130901241254,101.92513027459951,113.03139464487373
2022-06-02,116.70795631203413,138.04118298044875,95.45130901241254,101.92513027459951,113.03139464487373
2022-06-03,116.70795631203413,138.04118298044875,95.45130901241254,101.92513027459951,113.03139464487373
2022-06-04,117.63931518316262,138.04118298044875,95.45130901241254,101.92513027459951,113.26423436265584
2022-06-05,117.63931518316262,138.04118298044875,95.45130901241254,101.92513027459951,113.26423436265584
2022-06-06,117.63931518316262,138.04118298044875,95.45130901241254,101.92513027459951,113.26423436265584
2022-06-07,117.63931518316262,138.04118298044875,95.63460465575045,100.60073005666024,112.97895821900555
2022-06-08,117.63931518316262,138.04118298044875,95.63460465575045,100.60073005666024,112.97895821900555
2022-06-09,117.63931518316262,138.04118298044875,95.63460465575045,100.60073005666024,112.97895821900555
2022-06-10,117.63931518316262,138.04118298044875,95.63460465575045,100.57957477891736,112.97366939956981
2022-06-11,117.63931518316262,138.04118298044875,95.63460465575045,100.57957477891736,112.97366939956981
2022-06-12,117.63931518316262,138.04118298044875,95.63460465575045,100.57957477891736,112.97366939956981
2022-06-13,117.72581416669989,138.04118298044875,95.63460465575045,100.57957477891736,112.99529414545412
2022-06-14,117.72581416669989,138.04118298044875,95.63460465575045,100.57957477891736,112.99529414545412
2022-06-15,118.38621596842987,138.04118298044875,95.66707182127443,100.57957477891736,113.16851138726759
2022-06-16,118.38621596842987,138.04118298044875,95.66707182127443,100.57957477891736,113.16851138726759
2022-06-17,118.38621596842987,137.58561786102408,95.19465401406157,100.57957477891736,112.93651565560823
2022-06-18,119.98684577669711,137.58561786102408,95.19465401406157,100.57957477891736,113.33667310767504
2022-06-19,119.98684577669711,137.58561786102408,95.19465401406157,100.57957477891736,113.33667310767504
2022-06-20,119.98684577669711,137.58561786102408,95.19465401406157,100.57957477891736,113.33667310767504
2022-06-21,119.98684577669711,140.04413411720134,94.60551880167391,100.57957477891736,113.80401836862242
2022-06-22,119.98684577669711,140.04413411720134,94.60551880167391,100.14708905374039,113.69589693732817
2022-06-23,119.98684577669711,140.04413411720134,94.60551880167391,100.14708905374039,113.69589693732817
2022-06-24,119.98684577669711,141.74848205888318,94.60551880167391,100.14708905374039,114.12198392274864
2022-06-25,119.98684577669711,141.74848205888318,94.60551880167391,100.14708905374039,114.12198392274864
2022-06-26,119.98684577669711,141.74848205888318,94.60551880167391,100.14708905374039,114.12198392274864
2022-06-27,119.98684577669711,143.1349181292186,90.59222781264802,100.14708905374039,113.46527019307604
2022-06-28,119.98684577669711,144.4877551088232,90.38941077231785,100.14708905374039,113.75277517789463
2022-06-29,120.64794515087497,144.4877551088232,90.38941077231785,100.14708905374039,113.91805002143911
2022-06-30,120.64794515087497,144.4877551088232,90.38941077231785,100.14708905374039,113.91805002143911
2022-07-01,120.64794515087497,144.4877551088232,90.38941077231785,100.14708905374039,113.91805002143911
2022-07-02,120.64794515087497,144.4877551088232,90.38941077231785,100.14708905374039,113.91805002143911
2022-07-03,120.64794515087497,144.4877551088232,90.38941077231785,100.14708905374039,113.91805002143911
2022-07-04,120.64794515087497,144.4877551088232,90.38941077231785,100.14708905374039,113.91805002143911
2022-07-05,120.64794515087497,144.4877551088232,90.38941077231785,100.14708905374039,113.91805002143911
2022-07-06,120.64794515087497,144.4877551088232,90.38941077231785,100.14708905374039,113.91805002143911
2022-07-07,120.64794515087497,144.4877551088232,90.38941077231785,100.14708905374039,113.91805002143911
2022-07-08,120.64794515087497,144.4877551088232,90.38941077231785,100.14708905374039,113.91805002143911
2022-07-09,120.64794515087497,144.4877551088232,90.38941077231785,100.14708905374039,113.91805002143911
2022-07-10,120.64794515087497,144.4877551088232,90.38941077231785,100.14708905374039,113.91805002143911
2022-07-11,120.64794515087497,144.4877551088232,90.38941077231785,100.0890118289935,113.90353071525237
2022-07-12,120.64794515087497,147.21293714543987,90.38941077231785,100.0890118289935,114.58482622440656
2022-07-13,121.25722485749593,147.21293714543987,90.38941077231785,100.0890118289935,114.73714615106178
2022-07-14,121.25722485749593,147.21293714543987,90.38941077231785,100.0890118289935,114.73714615106178
2022-07-15,121.25722485749593,147.21293714543987,91.04029524571789,99.65862167378164,114.79226973060884
2022-07-16,121.25722485749593,147.21293714543987,91.04029524571789,99.65862167378164,114.79226973060884
2022-07-17,121.25722485749593,147.21293714543987,91.04029524571789,99.23002772139697,114.68512124251265
2022-07-18,121.25722485749593,148.04321022529007,91.04029524571789,99.23002772139697,114.89268951247521
2022-07-19,121.25722485749593,149.11718472188528,91.06372092210859,99.23002772139697,115.1670395557217
2022-07-20,121.25722485749593,149.82103748408946,90.75374168671034,99.23002772139697,115.26550793742317
2022-07-21,121.25722485749593,149.82103748408946,90.75374168671034,101.32729410027204,115.78982453214195
2022-07-22,121.25722485749593,150.53060641207574,90.75374168671034,101.32729410027204,115.9672167641385
2022-07-23,121.25722485749593,150.53060641207574,90.75374168671034,101.7588817240354,116.07511367007935
2022-07-24,121.25722485749593,150.53060641207574,90.75374168671034,105.17915127420633,116.93018105762208
2022-07-25,121.25722485749593,150.53060641207574,90.7518922912058,105.17915127420633,116.92971870874595
2022-07-26,121.25722485749593,151.28075347041056,90.89080244243499,105.17915127420633,117.15198301113696
2022-07-27,121.25722485749593,151.28075347041056,90.85895174207919,105.17915127420633,117.144020336048
2022-07-28,121.25722485749593,151.28075347041056,90.66846400511255,105.17915127420633,117.09639840180634
2022-07-29,121.25722485749593,151.28075347041056,90.66846400511255,104.27655935352666,116.87075042163642
2022-07-30,121.25722485749593,151.28075347041056,90.66846400511255,104.27655935352666,116.87075042163642
2022-07-31,121.25722485749593,151.28075347041056,90.66846400511255,104.27655935352666,116.87075042163642
2022-08-01,121.25722485749593,151.28075347041056,90.66846400511255,103.37975519751245,116.64654938263288
2022-08-02,121.25722485749593,151.28075347041056,90.66846400511255,102.57755105706539,116.44599834752111
2022-08-03,121.92539960935945,151.28075347041056,90.76093378033909,102.36719574818834,116.58357065207437
2022-08-04,121.92539960935945,151.28075347041056,91.03043180302704,102.36719574818834,116.65094515774635
2022-08-05,121.92539960935945,151.28075347041056,91.47387574733558,102.36719574818834,116.76180614382348
2022-08-06,121.92539960935945,151.28075347041056,91.47387574733558,102.36719574818834,116.76180614382348
2022-08-07,121.92539960935945,151.28075347041056,91.47387574733558,102.36719574818834,116.76180614382348
2022-08-08,121.92539960935945,151.28075347041056,91.21454939992253,102.36719574818834,116.69697455697022
2022-08-09,121.92539960935945,151.28075347041056,91.21454939992253,101.92702626647268,116.5869321865413
2022-08-10,121.92539960935945,151.28075347041056,91.05704254945334,101.48685678475702,116.43751310349508
2022-08-11,121.92539960935945,151.28075347041056,91.05704254945334,101.05037949774179,116.32839378174128
2022-08-12,121.92539960935945,151.28075347041056,90.8933710473024,101.72195977703137,116.45537097602595
2022-08-13,121.92539960935945,151.28075347041056,90.8933710473024,101.72195977703137,116.45537097602595
2022-08-14,121.92539960935945,151.28075347041056,90.8933710473024,101.28458438860251,116.34602712891873
2022-08-15,121.92539960935945,151.28075347041056,90.8933710473024,101.0323176804236,116.282960451874
2022-08-16,121.92539960935945,151.28075347041056,90.8933710473024,101.0323176804236,116.282960451874
2022-08-17,121.92539960935945,151.28075347041056,90.8933710473024,101.0323176804236,116.282960451874
2022-08-18,121.92539960935945,151.28075347041056,90.8933710473024,101.0323176804236,116.282960451874
2022-08-19,121.92539960935945,151.28075347041056,90.8933710473024,101.0323176804236,116.282960451874
2022-08-20,121.64497548531112,151.28075347041056,90.8933710473024,101.0323176804236,116.21285442086193
2022-08-21,122.13746163351537,151.28075347041056,90.8933710473024,101.0323176804236,116.33597595791298
2022-08-22,122.13746163351537,151.28075347041056,90.8933710473024,101.0323176804236,116.33597595791298
2022-08-23,123.00952684657393,151.28075347041056,90.8933710473024,101.0323176804236,116.55399226117763
2022-08-24,123.00952684657393,151.28075347041056,90.8933710473024,101.0323176804236,116.55399226117763
2022-08-25,123.00952684657393,151.28075347041056,91.15598520894572,101.0323176804236,116.61964580158846
2022-08-26,123.00952684657393,151.28075347041056,91.15598520894572,101.0323176804236,116.61964580158846
2022-08-27,123.00952684657393,151.28075347041056,91.15598520894572,101.0323176804236,116.61964580158846
2022-08-28,123.00952684657393,151.28075347041056,91.15598520894572,101.0323176804236,116.61964580158846
2022-08-29,123.60126758879102,151.28075347041056,91.15598520894572,101.0323176804236,116.76758098714272
2022-08-30,123.60126758879102,151.28075347041056,91.15598520894572,101.0323176804236,116.76758098714272
2022-08-31,123.60126758879102,151.28075347041056,91.15598520894572,101.0323176804236,116.76758098714272
2022-09-01,123.60126758879102,150.78151950309237,90.50212115389951,101.0323176804236,116.47930648155163
2022-09-02,123.60126758879102,150.78151950309237,90.50212115389951,101.0323176804236,116.47930648155163
2022-09-03,123.60126758879102,150.78151950309237,90.50212115389951,101.0323176804236,116.47930648155163
2022-09-04,123.60126758879102,150.78151950309237,90.50212115389951,101.0323176804236,116.47930648155163
2022-09-05,123.60126758879102,150.78151950309237,90.50212115389951,101.0323176804236,116.47930648155163
2022-09-06,123.60126758879102,150.78151950309237,90.35262835061663,101.0323176804236,116.44193328073091
2022-09-07,123.60126758879102,151.88979099438023,90.72764466125753,101.0323176804236,116.81275523121309
2022-09-08,123.60126758879102,152.71454730958024,90.60373516245399,101.0323176804236,116.98796693531222
2022-09-09,123.60126758879102,156.34687156240759,90.81549094772272,101.0323176804236,117.94898694483622
2022-09-10,123.60126758879102,156.34687156240759,90.81549094772272,101.0323176804236,117.94898694483622
2022-09-11,123.60126758879102,156.34687156240759,90.81549094772272,101.0323176804236,117.94898694483622
2022-09-12,123.60126758879102,160.46869236061033,90.81549094772272,100.59783617432747,118.87082176786288
2022-09-13,123.60126758879102,160.46869236061033,90.81549094772272,99.83205503565463,118.67937648319466
2022-09-14,123.60126758879102,160.46869236061033,90.81549094772272,99.83205503565463,118.67937648319466
2022-09-15,123.60126758879102,160.46869236061033,90.81549094772272,99.83205503565463,118.67937648319466
2022-09-16,123.60126758879102,160.46869236061033,90.81549094772272,99.83205503565463,118.67937648319466
2022-09-17,124.65998325826124,160.46869236061033,90.81549094772272,99.83205503565463,118.94405540056223
2022-09-18,124.65998325826124,160.46869236061033,90.81549094772272,99.83205503565463,118.94405540056223
2022-09-19,124.65998325826124,160.46869236061033,91.32674606053072,99.83205503565463,119.07186917876425
2022-09-20,124.65998325826124,160.46869236061033,91.4947328188589,99.83205503565463,119.11386586834627
2022-09-21,124.65998325826124,160.46869236061033,91.4947328188589,99.83205503565463,119.11386586834627
2022-09-22,124.65998325826124,160.46869236061033,91.74450395616522,99.83205503565463,119.17630865267283
2022-09-23,124.65998325826124,160.46869236061033,91.74450395616522,99.83205503565463,119.17630865267283
2022-09-24,124.65998325826124,160.46869236061033,91.74450395616522,99.83205503565463,119.17630865267283
2022-09-25,124.65998325826124,160.46869236061033,91.74450395616522,99.83205503565463,119.17630865267283
2022-09-26,124.65998325826124,160.46869236061033,91.74450395616522,99.83205503565463,119.17630865267283
2022-09-27,124.65998325826124,160.46869236061033,91.74450395616522,99.83205503565463,119.17630865267283
2022-09-28,124.65998325826124,160.46869236061033,90.72795289384162,99.83205503565463,118.92217088709197
2022-09-29,124.65998325826124,160.46869236061033,90.72795289384162,99.83205503565463,118.92217088709197
2022-09-30,124.65998325826124,161.18437625664257,90.72795289384162,99.83205503565463,119.1010918611
2022-10-01,124.65998325826124,161.18437625664257,90.72795289384162,99.83205503565463,119.1010918611
2022-10-02,124.65998325826124,161.18437625664257,90.72795289384162,99.83205503565463,119.1010918611
2022-10-03,124.65998325826124,161.18437625664257,91.1995487474969,99.83205503565463,119.21899082451384
2022-10-04,124.65998325826124,168.72263634883234,90.64637400325289,99.83205503565463,120.96526216150028
2022-10-05,124.65998325826124,168.72263634883234,90.64637400325289,99.83205503565463,120.96526216150028
2022-10-06,124.65998325826124,168.72263634883234,90.64637400325289,99.83205503565463,120.96526216150028
2022-10-07,124.65998325826124,168.72263634883234,90.64637400325289,98.2642693346266,120.57331573624327
2022-10-08,124.65998325826124,168.72263634883234,90.64637400325289,98.2642693346266,120.57331573624327
2022-10-09,124.65998325826124,168.72263634883234,90.64637400325289,98.21966363108389,120.5621643103576
2022-10-10,124.65998325826124,168.72263634883234,90.64637400325289,98.11468555473728,120.53591979127094
