entry_time,direction,entry_price,exit_time,exit_price,result,pnl_pct_gross,pnl_pct,fib_score,symbol
2025-01-27 18:00:00,long,1.832,2025-01-27 21:00:00,1.94882,take_profit,6.38,6.08,0.33,WLDUSDT
2025-01-27 18:00:00,long,4.425,2025-01-27 20:00:00,4.60318,take_profit,4.03,3.73,0.33,NEARUSDT
2025-01-27 18:00:00,long,223.92,2025-01-27 20:00:00,234.83736,take_profit,4.88,4.58,0.67,SOLUSDT
2025-01-27 18:00:00,long,1.232e-05,2025-01-27 21:00:00,1.323096e-05,take_profit,7.39,7.09,0.67,PEPEUSDT
2025-02-02 03:00:00,long,4.5,2025-02-02 05:00:00,4.684552,take_profit,4.1,3.8,0.33,PROMUSDT
2025-02-02 11:00:00,long,1.172e-05,2025-02-02 16:00:00,1.1485599999999999e-05,stop_loss,-2.0,-2.3,0.34,PEPEUSDT
2025-02-02 12:00:00,long,0.6381,2025-02-02 16:00:00,0.625338,stop_loss,-2.0,-2.3,0.67,ENAUSDT
2025-02-02 19:00:00,long,20.08,2025-02-02 22:00:00,19.678399999999996,stop_loss,-2.0,-2.3,0.33,LINKUSDT
2025-02-02 19:00:00,long,1.355,2025-02-02 22:00:00,1.3278999999999999,stop_loss,-2.0,-2.3,0.33,WLDUSDT
2025-02-02 22:00:00,long,31.49,2025-02-03 00:00:00,30.8602,stop_loss,-2.0,-2.3,0.33,ZECUSDT
2025-02-02 22:00:00,long,2.4603,2025-02-02 23:00:00,2.5772616,take_profit,4.75,4.45,0.67,XRPUSDT
2025-02-03 05:00:00,long,221.99,2025-02-03 06:00:00,233.92216000000002,take_profit,5.38,5.08,0.34,AAVEUSDT
2025-02-03 14:00:00,long,3.662,2025-02-03 15:00:00,3.91216,take_profit,6.83,6.53,0.33,PROMUSDT
2025-02-06 23:00:00,long,0.464,2025-02-07 01:00:00,0.5006508000000001,take_profit,7.9,7.6,0.34,ENAUSDT
2025-02-07 06:00:00,long,3.0805,2025-02-07 10:00:00,3.2314692,take_profit,4.9,4.6,0.34,SUIUSDT
2025-02-07 06:00:00,long,8.98e-06,2025-02-07 07:00:00,9.329280000000001e-06,take_profit,3.89,3.59,0.66,PEPEUSDT
2025-02-19 21:00:00,long,1.108,2025-02-20 00:00:00,1.14812,take_profit,3.62,3.32,0.67,WLDUSDT
2025-02-24 22:00:00,long,7.784,2025-02-25 07:00:00,7.6283199999999995,stop_loss,-2.0,-2.3,0.66,UNIUSDT
2025-02-24 22:00:00,long,31.77,2025-02-24 23:00:00,33.28748,take_profit,4.78,4.48,0.33,ZECUSDT
2025-02-25 00:00:00,long,0.20378,2025-02-25 07:00:00,0.19970439999999998,stop_loss,-2.0,-2.3,0.33,DOGEUSDT
2025-02-25 04:00:00,long,136.06,2025-02-25 07:00:00,133.3388,stop_loss,-2.0,-2.3,0.34,SOLUSDT
2025-02-25 07:00:00,long,189.51,2025-02-26 03:00:00,208.2956,take_profit,9.91,9.61,0.67,AAVEUSDT
2025-02-25 07:00:00,long,2.0906,2025-02-25 12:00:00,2.2459824,take_profit,7.43,7.13,0.66,XRPUSDT
2025-02-25 07:00:00,long,2.6386,2025-02-25 12:00:00,2.829996,take_profit,7.25,6.95,0.33,SUIUSDT
2025-02-25 10:00:00,long,14.25,2025-02-25 20:00:00,15.385159999999999,take_profit,7.97,7.67,0.34,LINKUSDT
2025-02-25 10:00:00,long,2.814,2025-02-25 22:00:00,3.00988,take_profit,6.96,6.66,0.66,NEARUSDT
2025-02-28 04:00:00,long,0.2171,2025-02-28 11:00:00,0.22500599999999998,take_profit,3.64,3.34,0.66,TRXUSDT
2025-03-01 13:00:00,long,183.47,2025-03-01 16:00:00,189.74996,take_profit,3.42,3.12,0.34,AAVEUSDT
2025-03-03 21:00:00,long,0.832,2025-03-04 01:00:00,0.81536,stop_loss,-2.0,-2.3,1.0,ADAUSDT
2025-03-04 02:00:00,long,2.2123,2025-03-04 10:00:00,2.3905507999999998,take_profit,8.06,7.76,0.33,XRPUSDT
2025-03-04 02:00:00,long,0.18544,2025-03-04 14:00:00,0.19883064,take_profit,7.22,6.92,0.33,DOGEUSDT
2025-03-04 13:00:00,long,0.945,2025-03-04 16:00:00,0.9260999999999999,stop_loss,-2.0,-2.3,0.33,WLDUSDT
2025-03-04 13:00:00,long,6.66e-06,2025-03-04 16:00:00,6.5268e-06,stop_loss,-2.0,-2.3,0.33,PEPEUSDT
2025-03-04 13:00:00,long,13.38,2025-03-04 16:00:00,13.112400000000001,stop_loss,-2.0,-2.3,0.34,LINKUSDT
2025-03-04 16:00:00,long,2.2559,2025-03-04 18:00:00,2.4908144,take_profit,10.41,10.11,0.33,SUIUSDT
2025-03-06 17:00:00,long,0.8854,2025-03-06 21:00:00,0.9122804,take_profit,3.04,2.74,0.33,ADAUSDT
2025-03-08 09:00:00,long,5.872,2025-03-08 12:00:00,6.097616,take_profit,3.84,3.54,0.33,PROMUSDT
2025-03-09 18:00:00,long,5.72e-06,2025-03-10 04:00:00,6.10704e-06,take_profit,6.77,6.47,0.33,PEPEUSDT
2025-03-09 18:00:00,long,29.17,2025-03-10 02:00:00,31.128800000000002,take_profit,6.72,6.42,0.33,ZECUSDT
2025-03-10 00:00:00,long,2.0872,2025-03-10 02:00:00,2.2011172,take_profit,5.46,5.16,0.33,XRPUSDT
2025-03-10 00:00:00,long,0.7024,2025-03-10 01:00:00,0.7346848,take_profit,4.6,4.3,0.33,ADAUSDT
2025-03-10 00:00:00,long,2.2651,2025-03-10 09:00:00,2.40375,take_profit,6.12,5.82,0.67,SUIUSDT
2025-03-10 10:00:00,long,2.566,2025-03-10 14:00:00,2.51468,stop_loss,-2.0,-2.3,0.33,NEARUSDT
2025-03-10 19:00:00,long,12.41,2025-03-11 00:00:00,12.1618,stop_loss,-2.0,-2.3,0.67,LINKUSDT
2025-03-11 00:00:00,long,0.699,2025-03-11 02:00:00,0.759652,take_profit,8.68,8.38,0.67,WLDUSDT
2025-03-11 00:00:00,long,1754.28,2025-03-11 02:00:00,1867.7133999999999,take_profit,6.47,6.17,0.33,ETHUSDT
2025-03-11 00:00:00,long,5.25e-06,2025-03-11 01:00:00,5.56152e-06,take_profit,5.93,5.63,0.66,PEPEUSDT
2025-03-11 00:00:00,long,507.0,2025-03-11 02:00:00,531.9924,take_profit,4.93,4.63,0.33,BNBUSDT
2025-03-11 00:00:00,long,112.0,2025-03-11 03:00:00,121.17568,take_profit,8.19,7.89,0.33,SOLUSDT
2025-03-11 00:00:00,long,76606.0,2025-03-11 05:00:00,80430.29504,take_profit,4.99,4.69,0.33,BTCUSDT
2025-03-22 05:00:00,long,29.84,2025-03-22 08:00:00,30.99404,take_profit,3.87,3.57,0.33,ZECUSDT
2025-03-31 10:00:00,long,2.0238,2025-04-01 08:00:00,2.1520424,take_profit,6.34,6.04,0.33,XRPUSDT
2025-04-01 14:00:00,long,0.16724,2025-04-02 15:00:00,0.17635196,take_profit,5.45,5.15,0.33,DOGEUSDT
2025-04-06 07:00:00,long,36.52,2025-04-06 08:00:00,37.63628,take_profit,3.06,2.76,0.33,ZECUSDT
2025-04-07 06:00:00,long,4.602,2025-04-07 08:00:00,4.9394800000000005,take_profit,7.33,7.03,0.33,UNIUSDT
2025-04-07 06:00:00,long,1411.01,2025-04-07 13:00:00,1539.86364,take_profit,9.13,8.83,0.66,ETHUSDT
2025-04-07 06:00:00,long,10.1,2025-04-07 08:00:00,10.8316,take_profit,7.24,6.94,0.33,LINKUSDT
2025-04-07 06:00:00,long,0.573,2025-04-07 08:00:00,0.619964,take_profit,8.2,7.9,0.33,WLDUSDT
2025-04-07 08:00:00,long,1.978,2025-04-07 13:00:00,2.11842,take_profit,7.1,6.8,0.33,NEARUSDT
2025-04-09 12:00:00,long,1.828,2025-04-09 13:00:00,1.908712,take_profit,4.42,4.12,0.33,NEARUSDT
2025-04-16 17:00:00,long,0.2614,2025-04-16 20:00:00,0.2756308,take_profit,5.44,5.14,0.67,ENAUSDT
2025-04-17 14:00:00,long,0.681,2025-04-17 16:00:00,0.704364,take_profit,3.43,3.13,0.33,WLDUSDT
2025-05-05 20:00:00,long,0.852,2025-05-06 18:00:00,0.911708,take_profit,7.01,6.71,0.33,WLDUSDT
2025-05-06 11:00:00,long,7.58e-06,2025-05-06 19:00:00,7.93636e-06,take_profit,4.7,4.4,0.33,PEPEUSDT
2025-05-06 16:00:00,long,0.2563,2025-05-06 23:00:00,0.2707904,take_profit,5.65,5.35,0.33,ENAUSDT
