signal_time,entry_time,direction,entry_price,exit_time,exit_price,result,pnl_pct_gross,pnl_pct,fib_score,start_time,wave0,wave1,wave2,wave3,wave4,wave5,symbol,stufe,score_nachbildung,naehe,naehe_fib,gesamtabstand,naehe_weich,entartet,erf_w2_w1,r_w2_w1,d_w2_w1,dfib_w2_w1,erf_w3_w1,r_w3_w1,d_w3_w1,dfib_w3_w1,erf_w4_w3,r_w4_w3,d_w4_w3,dfib_w4_w3,muster_bedingungen,haltedauer_balken
2026-05-20,2026-05-21,long,159.27957153320312,2026-09-01,195.69000244140625,time_exit,22.86,22.56,0.33,2026-04-30,175.49881462429775,163.63863114583654,175.0798605361442,152.666206198545,160.50650263549252,149.7635062858282,BKNG,1,0.33,0.1470319329818682,0.18630140035146514,2.961293127679417,0.39225227301657584,False,False,0.9646755812071204,6.875857308595262,5.875857308595261,False,1.8898235746777188,1.449117873388593,1.359117873388593,True,0.34980000667697086,0.5589042010543954,0.44109579894560463,--w4,103.0
2022-01-28,2022-01-31,long,736.0610961914062,2022-02-04,713.9792633056641,stop_loss,-3.0,-3.3,0.33,2021-12-16,834.5556250670718,790.9701289083515,830.9779132560748,674.4440071291026,733.4045894633674,691.0804015537907,BLK,1,0.33,0.024368356322720313,0.30896497701061304,5.655770337351739,0.2504705354499302,False,False,0.917915083541358,6.083306500700984,5.083306500700983,False,3.5914219160644794,9.957109580322394,9.867109580322394,True,0.37666332996532426,0.9268949310318391,0.07310506896816095,--w4,4.0
2022-10-13,2022-10-14,long,503.3512573242188,2023-02-24,628.690185546875,time_exit,24.9,24.6,0.66,2022-08-16,692.5198545764482,590.1565735497867,641.1686873187039,496.2983004271169,540.2519119667975,459.653543227389,BLK,2,0.66,0.33318947852322195,0.0,0.6761671795227079,0.6472185383524119,False,False,0.49834387152587034,1.0280699741377899,2.0280699741377908,True,1.4152573602428205,0.9237131987858979,1.0137131987858978,True,0.30339955930795615,0.0767183656444363,1.0767183656444363,-w3w4,133.0
2026-03-12,2026-03-17,long,965.56884765625,2026-03-27,936.6017822265625,stop_loss,-3.0,-3.3,0.33,2026-02-23,1095.9090315222286,1039.73014353059,1095.7408380272109,913.8502968522604,971.326374298161,912.2493207582108,BLK,1,0.33,0.30140334105830985,0.03192999227502347,5.23604538874709,0.38004199240384695,False,False,0.9970061085039146,7.423832347523978,6.423832347523977,False,3.2377027683784454,8.188513841892224,8.098513841892224,True,0.31599266830823014,0.09578997682507044,0.9042100231749296,--w4,10.0
2018-05-08,2018-05-14,long,38.319095611572266,2018-06-04,37.169522743225095,stop_loss,-3.0,-3.3,0.66,2018-02-16,51.27267919036622,47.35678119847038,49.93323650733536,42.97456194729936,45.28755726311015,36.80166012087085,BMY,2,0.66,0.264809340029766,0.2827264749037162,0.9608827717793527,0.5537798735756825,False,False,0.6579475037902139,1.677076335427356,0.677076335427355,True,1.77703162197722,0.8851581098860991,0.7951581098860991,True,0.332390212511796,0.3204138700246029,0.6795861299753971,-w3w4,21.0
2020-03-12,2020-03-13,long,42.77479934692383,2020-03-16,41.49155536651611,stop_loss,-3.0,-3.3,0.0,2020-01-22,53.159296857138365,48.62434361451459,52.73924935600929,43.848249402563376,48.11095067668385,39.37553317469966,BMY,0,0.0,0.0,0.0,3.347404180369656,0.2671636076255689,False,False,0.9073755607486592,5.904670521163717,4.904670521163716,False,1.96054942085839,1.802747104291949,1.7127471042919489,False,0.4794400288426911,2.3347949156533025,1.3347949156533025,---,3.0
2023-11-30,2023-12-04,long,43.840293884277344,2024-02-05,42.525085067749025,stop_loss,-3.0,-3.3,0.33,2023-07-24,56.7722960922915,51.84878868412851,55.06165573688511,43.41049544790576,46.97174866536021,42.32281115912487,BMY,1,0.33,0.3180663443086669,0.13809853640788816,1.8212267979819003,0.5166309495388846,False,False,0.6525565590558038,1.5857043907763364,0.5857043907763355,False,2.3664350072190734,3.8321750360953653,3.7421750360953654,True,0.30565652940359805,0.045800967073999214,1.0458009670739992,--w4,63.0
2024-05-30,2024-06-03,long,37.49519348144531,2024-06-17,36.37033767700195,stop_loss,-3.0,-3.3,0.0,2024-03-13,48.83901107489446,45.49375064984802,48.342096290160704,38.89553992929828,41.04094870038183,35.825548553918864,BMY,0,0.0,0.0,0.0,4.0659973950712205,0.259879397160864,False,False,0.8514570701242623,4.956899493631566,3.956899493631565,False,2.823862767195855,6.1193138359792725,6.029313835979272,False,0.2271101435409937,1.1217788556028256,2.121778855602826,---,14.0
2020-03-03,2020-03-04,long,33.74952697753906,2020-03-05,32.73704116821289,stop_loss,-3.0,-3.3,0.33,2020-01-09,42.71590795859913,36.74948119840637,39.691114652474376,32.11621298667145,34.13285827636719,31.749559551994142,BNY,1,0.33,0.1380240028568245,0.0,1.1187027162770329,0.493242640420608,False,False,0.4930310171062868,1.1181183541307318,2.1181183541307327,False,1.2695876393458319,1.6520618032708407,1.7420618032708406,True,0.26622725662564456,0.5859279914295265,1.5859279914295266,--w4,1.0
2020-03-18,2020-03-19,long,24.999652862548828,2020-03-20,24.24966327667236,stop_loss,-3.0,-3.3,0.0,2020-03-04,34.09118872842849,28.499608065778244,30.50790907862121,24.499661554175603,28.441267013549805,21.999691827026677,BNY,0,0.0,0.0,0.0,3.589438777260581,0.22580634177994466,False,False,0.35916516885067884,3.3870310364291716,4.387031036429172,False,1.0745168293070588,2.6274158534647056,2.7174158534647055,False,0.6560324692578142,4.753869441887866,3.7538694418878653,---,1.0
2020-03-12,2020-03-13,long,196.3999938964844,2020-03-16,190.50799407958988,stop_loss,-3.0,-3.3,0.0,2020-03-02,218.8000030517578,206.1999969482422,218.33999633789065,192.25999450683597,202.8600006103516,175.0,BRK-B,0,0.0,0.0,0.22172637768961037,3.5132706280943578,0.284723875139344,False,False,0.9634915483303766,6.855788954752148,5.855788954752147,False,2.0698404125199517,2.349202062599757,2.259202062599757,False,0.40644192328597534,1.334820866931169,0.33482086693116886,---,3.0
2020-03-18,2020-03-19,long,33.45255661010742,2020-03-20,32.4489799118042,stop_loss,-3.0,-3.3,0.0,2020-03-05,46.5499589646577,37.40408674300099,40.4473954205899,29.843600835120387,37.38814229944485,26.29041209120571,BX,0,0.0,0.0,0.0,3.8504313398303105,0.2241910364076196,False,False,0.33275215352151916,3.834709262347132,4.8347092623471335,False,1.159407689991618,2.20296155004191,2.2929615500419103,False,0.7114944941184381,5.513623207101891,4.513623207101891,---,1.0
2022-12-07,2022-12-12,long,73.02718353271484,2022-12-14,70.8363680267334,stop_loss,-3.0,-3.3,0.0,2022-11-11,97.39612971904025,75.35604841959614,81.04981994628906,71.22962601015472,75.22321276211714,68.31632813275817,BX,0,0.0,0.0,0.22068098662355096,4.068711425437985,0.24647631600446818,False,False,0.2583371381137571,5.09598070993632,6.095980709936321,False,0.44556069475034227,5.772196526248287,5.862196526248287,False,0.40667086392944235,1.3379570401293472,0.33795704012934713,---,2.0
2025-01-13,2025-01-14,long,159.24534606933594,2025-02-11,154.46798568725586,stop_loss,-3.0,-3.3,0.67,2024-11-25,189.0027364872842,173.3716349981558,182.45686198222936,156.16989609705607,167.92613293418165,151.16644600344466,BX,2,0.67,0.40490536777764524,0.3882247634592197,0.8929341105262001,0.5939688781440435,False,True,0.5812275603477096,0.3767383109781301,0.6232616890218708,True,1.681709117137787,0.40854558568893407,0.318545585688934,False,0.44722684574854216,1.8935184349115362,0.8935184349115362,w2w3-,28.0
2025-03-13,2025-03-17,long,140.17242431640625,2025-03-27,135.96725158691405,stop_loss,-3.0,-3.3,0.33,2025-02-19,159.3325611267883,145.27549765194695,155.23496695471334,129.66283904587317,136.19812184174796,128.61946922264718,BX,1,0.33,0.0893275298865213,0.0,1.4539307698563892,0.44582314635237696,False,False,0.7085028335108086,2.5339463306916716,1.5339463306916707,False,1.8191657137074122,1.0958285685370601,1.00582856853706,True,0.25556272904514815,0.7320174103404361,1.7320174103404362,--w4,10.0
2025-11-19,2025-11-21,long,138.32505798339844,2026-02-03,134.17530624389647,stop_loss,-3.0,-3.3,0.33,2025-09-18,182.6795909905296,147.18927684000474,159.90351921784367,136.81257224209378,144.46228715813783,131.3152571728856,BX,1,0.33,0.23156930179306612,0.10176403154026721,2.8182595039253098,0.38908579894171796,False,False,0.3582454165920902,3.4026200577611823,4.402620057761183,False,0.6506267281212106,4.7468663593939455,4.836866359393946,True,0.3312863229073185,0.30529209462080165,0.6947079053791984,--w4,74.0
2026-03-03,2026-03-04,long,111.95010375976562,2026-03-06,108.59160064697265,stop_loss,-3.0,-3.3,0.0,2026-02-12,133.8713145052896,124.23971242608258,132.27257596546656,108.9095868890758,118.56079712282722,103.07373804983092,BX,0,0.0,0.0,0.19133212698542712,3.405169369512823,0.2612792655259765,False,False,0.8340111513457925,4.6612059550134335,3.6612059550134326,False,2.4256597068962638,4.128298534481317,4.038298534481317,False,0.41309826419019147,1.4260036190437186,0.4260036190437186,---,2.0
2020-03-09,2020-03-10,long,44.31476593017578,2020-03-11,42.98532295227051,stop_loss,-3.0,-3.3,0.33,2020-01-14,65.82841129208416,58.92955523354724,64.39912889681057,48.90729241992736,54.56025957997558,40.66305558816774,C,1,0.33,0.07808336204409254,0.2552499712892408,2.652228733421986,0.33478209787631813,False,False,0.7928232763307275,3.9631063784869074,2.9631063784869065,False,2.2455659815822657,3.2278299079113273,3.137829907911327,True,0.36489974371234374,0.7657499138677224,0.2342500861322776,--w4,1.0
2020-03-23,2020-03-24,long,32.41883087158203,2020-03-25,31.44626594543457,stop_loss,-3.0,-3.3,0.33,2020-03-10,44.41044287157835,34.14103046217115,40.85442516876396,25.514077311336887,32.88126390877193,27.60304887439428,C,1,0.33,0.15631703903115501,0.2578015171206878,1.4941573510474955,0.4452729936730817,False,False,0.6537272473781527,1.6055465657314025,0.6055465657314016,True,1.493790223418693,0.531048882906535,0.621048882906535,False,0.4802489921288321,2.345876604504549,1.345876604504549,-w3-,1.0
2022-10-13,2022-10-14,long,37.749290466308594,2023-02-24,44.76241683959961,time_exit,18.58,18.28,1.0,2022-08-16,47.642874881449245,41.5652535929679,45.09306437725012,35.85440820245265,39.07658079947157,34.93751579616774,C,3,1.0,0.5640114812238562,0.4730236499422884,0.4359885187761438,0.698396863346431,False,True,0.5804591330770036,0.3637141199492143,0.6362858800507866,True,1.5201105393498435,0.3994473032507827,0.48944730325078273,True,0.3487707017183757,0.5448041331284343,0.45519586687156566,w2w3w4,133.0
2023-03-16,2023-03-21,long,40.20410537719727,2023-03-22,38.99798221588135,stop_loss,-3.0,-3.3,0.0,2023-02-02,47.01940001174147,43.84362310897985,46.78734010762285,39.784844792909176,42.80885658592364,38.98202302038125,C,0,0.0,0.0,0.10571807110977176,3.64792334410734,0.25313043620601844,False,False,0.9269281466475754,6.236070282162296,5.236070282162295,False,2.204970792697808,3.0248539634890395,2.934853963489039,False,0.43184774242696,1.6828457866706847,0.6828457866706847,---,1.0
2025-03-31,2025-04-02,long,69.26038360595703,2025-04-03,67.18257209777832,stop_loss,-3.0,-3.3,0.33,2025-02-18,81.78825209231547,73.79665600430852,77.62837998985621,63.74927732114916,72.44543112274036,66.02708633621091,C,1,0.33,0.10547961553105385,0.1354796155310539,2.1272468769433703,0.4022619769078876,False,False,0.47946917528752375,1.347980079872478,2.3479800798724786,True,1.7367122306813678,0.6835611534068384,0.5935611534068383,False,0.6265645560212081,4.350199397550795,3.3501993975507953,-w3-,1.0
2025-04-10,2025-04-11,long,59.49288940429688,2025-08-21,90.6718521118164,time_exit,52.41,52.11,0.34,2025-03-26,72.44543112274036,66.02708633621091,69.45341405387951,53.57641765743789,63.45972817056638,57.02206602327529,C,1,0.34,0.19114994291749773,0.0,3.0298060823848716,0.3587144986993342,False,True,0.533833539896397,0.4265501712475069,1.426550171247508,False,2.473690168493847,4.368450842469232,4.2784508424692325,False,0.6224924580409651,4.294417233437877,3.2944172334378776,w2--,132.0
2018-08-02,2018-08-07,long,120.70500946044922,2018-08-10,117.08385917663574,stop_loss,-3.0,-3.3,0.0,2018-05-21,136.16414977256224,127.65395094245696,134.13355946312615,111.79618830251394,124.3673551070074,115.0334626904896,CAT,0,0.0,0.0,0.0,4.0102677729291,0.20413204818631803,False,False,0.7613933175976134,3.4303952135188727,2.4303952135188718,False,2.6247766481780155,5.123883240890075,5.033883240890075,False,0.5627863150996196,3.4765248643783506,2.4765248643783506,---,3.0
2019-08-28,2019-08-29,long,102.51998138427734,2020-01-08,129.5673828125,time_exit,26.38,26.08,1.0,2019-07-16,121.47643370533612,111.81701641915556,117.4318042141976,101.04009369511884,106.20224222522656,97.27949907438958,CAT,3,1.0,0.6854835830863045,0.35462705697963615,0.3145164169136955,0.7747778970270232,False,True,0.5812760365032521,0.3775599407330875,0.6224400592669135,True,1.6969668079802178,0.4848340399010885,0.39483403990108845,True,0.31492433471780445,0.08115527010691037,0.9188447298930896,w2w3w4,132.0
2020-03-12,2020-03-13,long,88.03260803222656,2020-03-16,85.39162979125976,stop_loss,-3.0,-3.3,0.33,2020-02-13,124.13266887379608,105.1637849551766,114.46709727877128,87.56432701644444,92.5473159974056,77.30684260582602,CAT,1,0.33,0.03042990279461551,0.00042990279461548503,1.2553803111794197,0.45248627650226,False,False,0.4904512233565167,1.1618436719234448,2.161843671923446,True,1.4182579416767693,0.9087102916161535,0.9987102916161535,False,0.18522215119009774,1.6955869699986608,2.695586969998661,-w3-,3.0
2021-10-13,2021-10-15,long,182.6199951171875,2021-11-30,177.14139526367188,stop_loss,-3.0,-3.3,0.34,2021-08-12,205.32126680696737,186.46468324411015,197.92546979340275,171.57213125235342,185.3452474141633,172.25110681133194,CAT,1,0.34,0.05770050643465644,0.2756328268986766,1.588512920173702,0.4330114174565621,False,True,0.6077870103610657,0.8268984806960307,0.17310151930397025,False,1.3975669798933703,1.0121651005331485,1.1021651005331485,False,0.5226326880883106,2.9264751792919266,1.9264751792919264,w2--,46.0
2023-03-24,2023-03-30,long,213.05587768554688,2023-04-04,206.66420135498046,stop_loss,-3.0,-3.3,0.33,2023-01-27,252.43341446084136,221.10216219475197,242.62222035522748,200.61638806645144,215.00104965845105,202.23896164739796,CAT,1,0.33,0.18061922619802864,0.15271410713530467,1.307229785591762,0.4790004075431173,False,False,0.6868559857649615,2.16705060618579,1.167050606185789,False,1.3407007141632836,1.2964964291835819,1.386496429183582,True,0.3424443894626317,0.45814232140591404,0.541857678594086,--w4,5.0
2025-04-10,2025-04-11,long,288.38201904296875,2025-04-21,279.7305584716797,stop_loss,-3.0,-3.3,0.0,2025-03-10,346.32374252075937,323.52438618390585,341.2725209404037,262.683597396657,296.6467892185979,274.96774212388846,CAT,0,0.0,0.0,0.10428046453150304,4.880510588969812,0.2272444172271302,False,False,0.7784489392715558,3.719473546975523,2.719473546975522,False,3.446979922705685,9.234899613528421,9.144899613528422,False,0.43216257826760085,1.6871586064054909,0.6871586064054909,---,10.0
