time,price,type
2024-12-30 15:00:00,91530.45,low
2024-12-30 20:00:00,95024.5,high
2024-12-30 21:00:00,91901.57,low
2024-12-31 14:00:00,96250.0,high
2025-01-01 09:00:00,92888.0,low
2025-01-07 00:00:00,102724.38,high
2025-01-08 17:00:00,92500.9,low
2025-01-09 01:00:00,95382.32,high
2025-01-09 14:00:00,91800.0,low
2025-01-09 16:00:00,94685.25,high
2025-01-09 20:00:00,91203.67,low
2025-01-10 10:00:00,95293.4,high
2025-01-10 15:00:00,92206.02,low
2025-01-13 00:00:00,95940.0,high
2025-01-13 14:00:00,89256.69,low
2025-01-16 00:00:00,100866.66,high
2025-01-16 15:00:00,97335.13,low
2025-01-17 19:00:00,105865.22,high
2025-01-18 08:00:00,102277.55,low
2025-01-19 20:00:00,106422.43,high
2025-01-20 00:00:00,99550.0,low
2025-01-20 06:00:00,109588.0,high
2025-01-20 17:00:00,100333.0,low
2025-01-20 18:00:00,104469.15,high
2025-01-21 01:00:00,100119.04,low
2025-01-21 18:00:00,107240.81,high
2025-01-23 10:00:00,101262.28,low
2025-01-23 14:00:00,106050.86,high
2025-01-23 15:00:00,102643.49,low
2025-01-23 16:00:00,106850.0,high
2025-01-23 21:00:00,102195.7,low
2025-01-24 18:00:00,107120.0,high
2025-01-27 07:00:00,97777.77,low
2025-01-27 14:00:00,102317.94,high
2025-01-27 18:00:00,98864.0,low
2025-01-28 15:00:00,103800.0,high
2025-01-28 21:00:00,100272.68,low
2025-01-30 15:00:00,106457.44,high
2025-02-03 02:00:00,91231.0,low
2025-02-03 22:00:00,102500.01,high
2025-02-04 22:00:00,96150.0,low
2025-02-05 14:00:00,99149.0,high
2025-02-05 23:00:00,96155.0,low
2025-02-06 11:00:00,99120.0,high
2025-02-06 19:00:00,95676.64,low
2025-02-07 14:00:00,100137.99,high
2025-02-09 21:00:00,94713.0,low
2025-02-11 05:00:00,98478.42,high
2025-02-12 13:00:00,94088.23,low
2025-02-14 17:00:00,98826.0,high
2025-02-18 19:00:00,93388.09,low
2025-02-21 13:00:00,99475.0,high
2025-02-25 10:00:00,86888.1,low
2025-02-25 13:00:00,89544.4,high
2025-02-25 15:00:00,86050.99,low
2025-02-25 22:00:00,89460.17,high
2025-02-26 14:00:00,85418.72,low
2025-02-26 15:00:00,88530.0,high
2025-02-26 20:00:00,82256.01,low
2025-02-27 11:00:00,87078.46,high
2025-02-28 08:00:00,78258.52,low
2025-03-02 17:00:00,95000.0,high
2025-03-04 15:00:00,81500.0,low
2025-03-05 12:00:00,90933.82,high
2025-03-05 16:00:00,87600.0,low
2025-03-06 05:00:00,92810.64,high
2025-03-06 19:00:00,87836.0,low
2025-03-07 00:00:00,91283.02,high
2025-03-07 01:00:00,85200.0,low
2025-03-07 14:00:00,91100.0,high
2025-03-09 23:00:00,80000.0,low
2025-03-10 09:00:00,84123.46,high
2025-03-10 19:00:00,77459.91,low
2025-03-10 21:00:00,79886.03,high
2025-03-11 00:00:00,76606.0,low
2025-03-11 13:00:00,82225.21,high
2025-03-11 14:00:00,79058.0,low
2025-03-12 12:00:00,84539.85,high
2025-03-12 15:00:00,80607.65,low
2025-03-13 02:00:00,84336.33,high
2025-03-13 17:00:00,79939.9,low
2025-03-14 15:00:00,85309.71,high
2025-03-16 11:00:00,82381.46,low
2025-03-16 16:00:00,85117.04,high
2025-03-16 23:00:00,81981.12,low
2025-03-17 19:00:00,84756.83,high
2025-03-18 13:00:00,81134.66,low
2025-03-20 00:00:00,87453.67,high
2025-03-21 13:00:00,83175.25,low
2025-03-24 14:00:00,88765.43,high
2025-03-31 00:00:00,81278.52,low
2025-04-02 20:00:00,88500.0,high
2025-04-03 15:00:00,81211.24,low
2025-04-04 09:00:00,84720.0,high
2025-04-04 11:00:00,81659.0,low
2025-04-04 17:00:00,84620.01,high
2025-04-07 07:00:00,74508.0,low
2025-04-07 14:00:00,81243.58,high
2025-04-07 16:00:00,77313.2,low
2025-04-08 02:00:00,80867.99,high
2025-04-09 01:00:00,74620.0,low
2025-04-09 21:00:00,83588.0,high
2025-04-10 16:00:00,78464.36,low
2025-04-13 01:00:00,86100.0,high
2025-04-13 21:00:00,83034.23,low
2025-04-15 13:00:00,86496.42,high
2025-04-16 01:00:00,83111.64,low
2025-04-23 13:00:00,94696.05,high
2025-04-24 08:00:00,91660.01,low
2025-04-25 14:00:00,95758.04,high
2025-04-28 01:00:00,92800.01,low
2025-05-02 14:00:00,97895.68,high
2025-05-06 13:00:00,93377.0,low
2025-05-12 07:00:00,105819.45,high
2025-05-12 18:00:00,100718.37,low
2025-05-13 19:00:00,104976.25,high
2025-05-15 14:00:00,101383.07,low
2025-05-19 00:00:00,107108.62,high
2025-05-19 06:00:00,102000.0,low
2025-05-21 16:00:00,109845.0,high
2025-05-21 17:00:00,106117.67,low
2025-05-22 17:00:00,111980.0,high
2025-05-25 15:00:00,106600.64,low
2025-05-27 13:00:00,110718.0,high
2025-05-31 03:00:00,103068.55,low
2025-06-03 15:00:00,106794.67,high
2025-06-05 20:00:00,100372.26,low
2025-06-09 21:00:00,110530.17,high
2025-06-13 01:00:00,102664.31,low
2025-06-16 22:00:00,108952.38,high
2025-06-17 17:00:00,103371.02,low
2025-06-20 08:00:00,106524.65,high
2025-06-22 20:00:00,98200.0,low
2025-06-30 00:00:00,108789.99,high
2025-07-02 01:00:00,105100.19,low
2025-07-14 07:00:00,123218.0,high
2025-07-15 14:00:00,115736.92,low
2025-07-17 21:00:00,120998.71,high
2025-07-22 01:00:00,116128.0,low
2025-07-22 23:00:00,120247.8,high
2025-07-25 07:00:00,114723.16,low
2025-07-28 02:00:00,119800.0,high
2025-08-03 00:00:00,111920.0,low
2025-08-11 05:00:00,122335.16,high
2025-08-11 21:00:00,118050.11,low
2025-08-14 00:00:00,124474.0,high
2025-08-22 12:00:00,111684.79,low
2025-08-22 18:00:00,117429.05,high
2025-08-26 01:00:00,108666.66,low
2025-08-28 13:00:00,113485.9,high
2025-09-01 05:00:00,107255.0,low
2025-09-05 12:00:00,113384.62,high
2025-09-06 16:00:00,109977.0,low
2025-09-18 18:00:00,117900.0,high
2025-09-26 11:00:00,108620.07,low
2025-10-06 18:00:00,126199.63,high
2025-10-07 18:00:00,120574.94,low
2025-10-08 18:00:00,124197.25,high
2025-10-10 21:00:00,102000.0,low
2025-10-10 23:00:00,114807.41,high
2025-10-11 21:00:00,109561.59,low
2025-10-13 02:00:00,115963.81,high
2025-10-14 13:00:00,109866.0,low
2025-10-15 02:00:00,113612.35,high
2025-10-17 10:00:00,103528.23,low
2025-10-20 15:00:00,111705.56,high
2025-10-21 05:00:00,107473.72,low
2025-10-21 16:00:00,114000.0,high
2025-10-22 21:00:00,106666.69,low
2025-10-27 07:00:00,116400.0,high
2025-10-30 04:00:00,107925.06,low
2025-10-30 07:00:00,111592.0,high
2025-10-30 19:00:00,106304.34,low
2025-11-02 12:00:00,111250.01,high
