label,deviation_pct,stop_loss_pct,take_profit_fib,use_take_profit,num_trades,num_symbols,num_nan_pnl,win_rate,total_return_pct,avg_return_pct,dd_bot,dd_bot_ohne_nan,dd_block,dd_block_ohne_nan,dd_entry,dd_entry_ohne_nan,dd_exit,dd_exit_ohne_nan,score_bot,score_bot_ohne_nan,score_block,score_block_ohne_nan,score_entry,score_entry_ohne_nan,score_exit,score_exit_ohne_nan,besteht_mindestfilter
dev 4.0 % / Stop 2.0 % / Fib 0.236,4.0,2.0,0.236,True,738,143,0,32.4,246.8,0.33,-62.81,-62.81,-62.81,-62.81,-141.57,-141.57,-150.11,-150.11,0.143,0.143,0.143,0.143,0.063,0.063,0.06,0.06,False
dev 4.0 % / Stop 2.0 % / Fib 0.382,4.0,2.0,0.382,True,738,143,0,24.9,478.26,0.65,-59.43,-59.43,-59.43,-59.43,-145.66,-145.66,-147.3,-147.3,0.297,0.297,0.297,0.297,0.121,0.121,0.12,0.12,False
dev 4.0 % / Stop 2.0 % / Fib 0.5,4.0,2.0,0.5,True,738,143,0,22.1,752.28,1.02,-56.58,-56.58,-56.58,-56.58,-130.73,-130.73,-162.41,-162.41,0.49,0.49,0.49,0.49,0.212,0.212,0.171,0.171,False
dev 4.0 % / Stop 2.0 % / kein Ziel,4.0,2.0,,False,738,143,0,14.9,2101.89,2.85,-71.3,-71.3,-71.3,-71.3,-215.64,-215.64,-265.31,-265.31,1.086,1.086,1.086,1.086,0.359,0.359,0.292,0.292,True
dev 4.0 % / Stop 3.0 % / Fib 0.236,4.0,3.0,0.236,True,738,143,0,40.0,300.27,0.41,-97.53,-97.53,-97.53,-97.53,-192.7,-192.7,-210.14,-210.14,0.114,0.114,0.114,0.114,0.058,0.058,0.053,0.053,False
dev 4.0 % / Stop 3.0 % / Fib 0.382,4.0,3.0,0.382,True,738,143,0,31.8,619.99,0.84,-95.43,-95.43,-95.43,-95.43,-181.2,-181.2,-199.13,-199.13,0.239,0.239,0.239,0.239,0.126,0.126,0.115,0.115,False
dev 4.0 % / Stop 3.0 % / Fib 0.5,4.0,3.0,0.5,True,738,143,0,28.3,952.93,1.29,-87.94,-87.94,-87.94,-87.94,-193.63,-193.63,-228.36,-228.36,0.399,0.399,0.399,0.399,0.181,0.181,0.153,0.153,False
dev 4.0 % / Stop 3.0 % / kein Ziel,4.0,3.0,,False,738,143,0,20.6,2846.42,3.86,-101.08,-101.08,-101.08,-101.08,-317.5,-317.5,-379.67,-379.67,1.037,1.037,1.037,1.037,0.33,0.33,0.276,0.276,True
dev 4.0 % / Stop 5.0 % / Fib 0.236,4.0,5.0,0.236,True,738,143,0,52.7,445.26,0.6,-123.89,-123.89,-123.89,-123.89,-263.2,-263.2,-291.68,-291.68,0.132,0.132,0.132,0.132,0.062,0.062,0.056,0.056,False
dev 4.0 % / Stop 5.0 % / Fib 0.382,4.0,5.0,0.382,True,738,143,0,42.3,709.77,0.96,-148.18,-148.18,-148.18,-148.18,-291.18,-291.18,-302.82,-302.82,0.176,0.176,0.176,0.176,0.09,0.09,0.086,0.086,False
dev 4.0 % / Stop 5.0 % / Fib 0.5,4.0,5.0,0.5,True,738,143,0,38.1,1129.53,1.53,-136.29,-136.29,-136.29,-136.29,-274.93,-274.93,-322.01,-322.01,0.305,0.305,0.305,0.305,0.151,0.151,0.129,0.129,False
dev 4.0 % / Stop 5.0 % / kein Ziel,4.0,5.0,,False,738,143,0,28.7,3330.16,4.51,-127.2,-127.2,-127.2,-127.2,-453.13,-453.13,-547.45,-547.45,0.963,0.963,0.963,0.963,0.27,0.27,0.224,0.224,True
dev 4.0 % / Stop 8.0 % / Fib 0.236,4.0,8.0,0.236,True,738,143,0,65.3,675.74,0.92,-110.97,-110.97,-110.97,-110.97,-390.75,-390.75,-434.27,-434.27,0.225,0.225,0.225,0.225,0.064,0.064,0.058,0.058,False
dev 4.0 % / Stop 8.0 % / Fib 0.382,4.0,8.0,0.382,True,738,143,0,54.2,960.3,1.3,-119.08,-119.08,-119.08,-119.08,-379.01,-379.01,-425.31,-425.31,0.297,0.297,0.297,0.297,0.093,0.093,0.083,0.083,False
dev 4.0 % / Stop 8.0 % / Fib 0.5,4.0,8.0,0.5,True,738,143,0,49.2,1395.91,1.89,-110.15,-110.15,-110.15,-110.15,-375.49,-375.49,-458.49,-458.49,0.466,0.466,0.466,0.466,0.137,0.137,0.112,0.112,False
