label,t3_fast,t3_slow,adx_threshold,stop_loss_pct,num_trades,num_symbols,num_nan_pnl,win_rate,total_return_pct,avg_return_pct,dd_bot,dd_bot_ohne_nan,dd_block,dd_block_ohne_nan,dd_entry,dd_entry_ohne_nan,dd_exit,dd_exit_ohne_nan,score_bot,score_bot_ohne_nan,score_block,score_block_ohne_nan,score_entry,score_entry_ohne_nan,score_exit,score_exit_ohne_nan,besteht_mindestfilter
T3 8/30 / ADX 20.0 / Stop 4.0 %,8,30,20.0,4.0,1003,18,0,28.9,1194.95,1.19,-381.0,-381.0,-126.05,-126.05,-381.0,-381.0,-371.45,-371.45,0.099,0.099,0.299,0.299,0.099,0.099,0.101,0.101,True
T3 8/30 / ADX 25.0 / Stop 2.0 %,8,30,25.0,2.0,551,18,0,16.7,24.25,0.04,-197.67,-197.67,-224.24,-224.24,-197.67,-197.67,-197.73,-197.73,0.005,0.005,0.004,0.004,0.005,0.005,0.005,0.005,False
T3 8/30 / ADX 25.0 / Stop 3.0 %,8,30,25.0,3.0,550,18,0,23.6,163.04,0.3,-180.42,-180.42,-207.91,-207.91,-180.42,-180.42,-199.63,-199.63,0.039,0.039,0.034,0.034,0.039,0.039,0.035,0.035,False
T3 8/30 / ADX 25.0 / Stop 4.0 %,8,30,25.0,4.0,550,18,0,27.8,667.39,1.21,-214.61,-214.61,-175.1,-175.1,-214.61,-214.61,-227.51,-227.51,0.132,0.132,0.162,0.162,0.132,0.132,0.125,0.125,True
T3 8/30 / ADX 30.0 / Stop 2.0 %,8,30,30.0,2.0,276,18,0,15.9,36.52,0.13,-173.97,-173.97,-82.79,-82.79,-173.97,-173.97,-169.72,-169.72,0.012,0.012,0.026,0.026,0.012,0.012,0.013,0.013,False
T3 8/30 / ADX 30.0 / Stop 3.0 %,8,30,30.0,3.0,275,18,0,22.5,114.73,0.42,-194.1,-194.1,-93.75,-93.75,-194.1,-194.1,-194.1,-194.1,0.036,0.036,0.074,0.074,0.036,0.036,0.036,0.036,True
T3 8/30 / ADX 30.0 / Stop 4.0 %,8,30,30.0,4.0,275,18,0,26.9,208.54,0.76,-202.28,-202.28,-121.63,-121.63,-202.28,-202.28,-206.58,-206.58,0.062,0.062,0.104,0.104,0.062,0.062,0.061,0.061,True
T3 12/21 / ADX 20.0 / Stop 2.0 %,12,21,20.0,2.0,1126,18,0,20.2,628.86,0.56,-324.05,-324.05,-122.99,-122.99,-324.05,-324.05,-328.15,-328.15,0.058,0.058,0.153,0.153,0.058,0.058,0.057,0.057,True
T3 12/21 / ADX 20.0 / Stop 3.0 %,12,21,20.0,3.0,1125,18,0,26.1,815.29,0.72,-371.66,-371.66,-119.85,-119.85,-371.66,-371.66,-377.61,-377.61,0.065,0.065,0.201,0.201,0.065,0.065,0.064,0.064,True
T3 12/21 / ADX 20.0 / Stop 4.0 %,12,21,20.0,4.0,1125,18,0,30.3,1208.93,1.07,-413.97,-413.97,-130.85,-130.85,-413.97,-413.97,-433.44,-433.44,0.087,0.087,0.274,0.274,0.087,0.087,0.083,0.083,True
T3 12/21 / ADX 25.0 / Stop 2.0 %,12,21,25.0,2.0,655,18,0,20.8,521.42,0.8,-149.48,-149.48,-89.83,-89.83,-149.48,-149.48,-147.34,-147.34,0.137,0.137,0.228,0.228,0.137,0.137,0.139,0.139,True
T3 12/21 / ADX 25.0 / Stop 3.0 %,12,21,25.0,3.0,654,18,0,25.8,527.28,0.81,-215.69,-215.69,-118.04,-118.04,-215.69,-215.69,-224.39,-224.39,0.096,0.096,0.175,0.175,0.096,0.096,0.092,0.092,True
